Year,List,Event,Duration,L1_End_Time,Running_Time
2017,L1,Word16_pre,0:00:012,0:01:1220,72.2
2017,L1,Word16,0:00:020,0:01:1420,74.2
2017,L1,Word17_pre,0:00:012,0:01:1540,75.4
2017,L1,Word17,0:00:020,0:01:1740,77.4
2017,L1,Word18_pre,0:00:012,0:01:1860,78.6
2017,L1,Word18,0:00:020,0:01:2060,80.6
2017,L1,Word19_pre,0:00:012,0:01:2180,81.8
2017,L1,Word19,0:00:020,0:01:2380,83.8
2017,L1,Word20_pre,0:00:012,0:01:2500,85.0
2017,L1,Word20,0:00:020,0:01:2700,87.0
2017,L3,Words_Start,,00:05:57,357
2017,L3,Word1_pre,0:00:012,00:05:58,358.2
2017,L3,Word1,0:00:020,00:06:00,360.2
2017,L3,Word2_pre,0:00:012,00:06:01,361.4
2017,L3,Word2,0:00:020,00:06:03,363.4
2017,L3,Word3_pre,0:00:012,00:06:05,364.6
2017,L3,Word3,0:00:020,00:06:07,366.6
2017,L3,Word4_pre,0:00:012,00:06:08,367.8
2017,L3,Word4,0:00:020,00:06:10,369.8
2017,L3,Word5_pre,0:00:012,00:06:11,371.0
2017,L3,Word5,0:00:020,00:06:13,373.0
2017,L3,Word6_pre,0:00:012,00:06:14,374.2
2017,L3,Word6,0:00:020,00:06:16,376.2
2017,L3,Word7_pre,0:00:012,00:06:17,377.4
2017,L3,Word7,0:00:020,00:06:19,379.4
2017,L3,Word8_pre,0:00:012,00:06:21,380.6
2017,L3,Word8,0:00:020,00:06:23,382.6
2017,L3,Word9_pre,0:00:012,00:06:24,383.8
2017,L3,Word9,0:00:020,00:06:26,385.8
2017,L3,Word10_pre,0:00:012,00:06:27,387.0
2017,L3,Word10,0:00:020,00:06:29,389.0
2017,L3,Word11_pre,0:00:012,00:06:30,390.2
2017,L3,Word11,0:00:020,00:06:32,392.2
2017,L3,Word12_pre,0:00:012,00:06:33,393.4
2017,L3,Word12,0:00:020,00:06:35,395.4
2017,L3,Word13_pre,0:00:012,00:06:37,396.6
2017,L3,Word13,0:00:020,00:06:39,398.6
2017,L3,Word14_pre,0:00:012,00:06:40,399.8
2017,L3,Word14,0:00:020,00:06:42,401.8
2017,L3,Word15_pre,0:00:012,00:06:43,403.0
2017,L3,Word15,0:00:020,00:06:45,405.0
2017,L3,Word16_pre,0:00:012,00:06:46,406.2
2017,L3,Word16,0:00:020,00:06:48,408.2
2017,L3,Word17_pre,0:00:012,00:06:49,409.4
2017,L3,Word17,0:00:020,00:06:51,411.4
2017,L3,Word18_pre,0:00:012,00:06:53,412.6
2017,L3,Word18,0:00:020,00:06:55,414.6
2017,L3,Word19_pre,0:00:012,00:06:56,415.8
2017,L3,Word19,0:00:020,00:06:58,417.8
2017,L3,Word20_pre,0:00:012,00:06:59,419.0
2017,L3,Word20,0:00:020,00:07:01,421.0
