Time (s),AF3,AF4,F3,F4,F7,F8,FC5,FC6,T7,T8,P7,P8,O1,O2,Sampling Rate
0.0000000000e+000,3.5872562999e+000,3.2353404228e+000,3.0511789550e+000,3.3854983082e+000,3.1845243940e+000,3.5738243664e+000,2.9265246210e+000,3.3663888276e+000,2.7366412877e+000,3.6455373942e+000,2.5417835617e+000,3.1795142157e+000,2.3985124413e+000,2.8414736278e+000,1
9.3750000000e-002,3.6721203496e+000,3.2885402531e+000,3.0743619996e+000,3.4114696196e+000,3.1899389262e+000,3.7080594490e+000,3.0242342220e+000,3.4792999427e+000,2.9169817467e+000,3.7982454688e+000,2.4402310649e+000,3.2671092299e+000,2.3901894359e+000,2.9631808973e+000,
1.8750000000e-001,3.7188094850e+000,3.4546390998e+000,3.1330908130e+000,3.5807069216e+000,3.2805808234e+000,3.6131074026e+000,3.2538090935e+000,3.5778225614e+000,3.0364470762e+000,3.9028051312e+000,2.3930840454e+000,3.2936838970e+000,2.4135666652e+000,2.9954667593e+000,
2.8125000000e-001,3.6937537339e+000,3.5091485631e+000,3.0974898034e+000,3.7673299042e+000,3.2667837879e+000,3.6913466613e+000,3.2433147807e+000,3.6184301081e+000,3.1865363065e+000,4.0189628068e+000,2.4843533079e+000,3.2120339107e+000,2.5382628049e+000,2.9963792384e+000,
3.7500000000e-001,3.7393141039e+000,3.6367181500e+000,3.1928125215e+000,3.8846215177e+000,3.3089099907e+000,3.9115680756e+000,3.2982211884e+000,3.7770613287e+000,3.1875742016e+000,4.1377966292e+000,2.5995440661e+000,3.2819638387e+000,2.5259342023e+000,3.1713512339e+000,
4.6875000000e-001,3.8388522020e+000,3.8896376960e+000,3.4142743894e+000,3.9434009390e+000,3.4426421507e+000,4.0348143088e+000,3.3458901356e+000,3.9445827950e+000,3.2740548197e+000,4.1619966949e+000,2.7363086218e+000,3.3329195045e+000,2.4704784223e+000,3.2345628261e+000,
5.6250000000e-001,3.8059939730e+000,3.8811215198e+000,3.3935973817e+000,3.9259691683e+000,3.4255794962e+000,4.0790527387e+000,3.3963091574e+000,3.9255569477e+000,3.2940847841e+000,4.2259627123e+000,2.7322759682e+000,3.4258341517e+000,2.6417547064e+000,3.3462149851e+000,
6.5625000000e-001,3.6783289578e+000,3.8057620663e+000,3.3755799513e+000,3.8799355979e+000,3.4951875563e+000,4.0835502223e+000,3.3467889305e+000,3.8989081970e+000,3.3412018271e+000,4.2638784735e+000,2.7810989270e+000,3.3879628987e+000,2.6240209710e+000,3.3625973848e+000,
7.5000000000e-001,3.5626041134e+000,3.7511325628e+000,3.2274038692e+000,3.8242231081e+000,3.4821197880e+000,4.1388515852e+000,3.3661820739e+000,3.8491591773e+000,3.4141523816e+000,4.3094010705e+000,2.8165658163e+000,3.4088006414e+000,2.6845029180e+000,3.4276750771e+000,
8.4375000000e-001,3.5647572393e+000,3.7877058874e+000,3.2847769070e+000,3.8592564598e+000,3.5032971627e+000,4.2953826786e+000,3.3060676036e+000,3.7815454680e+000,3.4151904756e+000,4.2414313225e+000,2.8539162092e+000,3.4899156684e+000,2.7585475636e+000,3.4532994509e+000,
9.3750000000e-001,3.5628518486e+000,3.7984015105e+000,3.2630047200e+000,3.8960632969e+000,3.4783950652e+000,4.3398159763e+000,3.1993266013e+000,3.7989218653e+000,3.3851815685e+000,4.2128807344e+000,2.8361969802e+000,3.4160907741e+000,2.8114578649e+000,3.4386127461e+000,
1.0312500000e+000,3.4239197982e+000,3.7890827520e+000,3.2464968885e+000,3.8485770567e+000,3.3644907738e+000,4.3192396518e+000,3.1612146523e+000,3.7163759995e+000,3.4402937093e+000,4.2064673436e+000,2.8788929423e+000,3.3607562737e+000,2.8849897086e+000,3.4961236186e+000,
1.1250000000e+000,3.3877914836e+000,3.7758266125e+000,3.2805775513e+000,3.8658489678e+000,3.3247724029e+000,4.3704581020e+000,3.0370608578e+000,3.7428455440e+000,3.4937678073e+000,4.1219428345e+000,3.0330006571e+000,3.3470236041e+000,2.9650981304e+000,3.5514932696e+000,
