Time (s),AF3,AF4,F3,F4,F7,F8,FC5,FC6,T7,T8,P7,P8,O1,O2,Sampling Rate
0.0000000000e+000,3.3864687319e+000,3.1677932290e+000,2.2568338975e+000,4.3546924339e+000,2.9949511543e+000,3.6910496996e+000,2.0353512909e+000,2.8040462085e+000,2.8419168524e+000,8.7576603308e+000,3.5027089875e+000,3.8945977548e+000,3.5249777105e+000,4.1897204689e+000,1
9.3750000000e-002,3.4491238099e+000,3.1933594037e+000,2.3688083714e+000,4.6866776369e+000,3.0019697618e+000,3.7461463790e+000,2.0650532085e+000,2.8058439478e+000,2.8424989460e+000,9.2467482319e+000,3.4951099714e+000,4.2512286369e+000,3.5329247005e+000,4.4036762554e+000,
1.8750000000e-001,3.3709895173e+000,3.3524902345e+000,2.3647504082e+000,4.7235560522e+000,3.0262209746e+000,3.7379034598e+000,2.0556731038e+000,2.8076049254e+000,2.7530435390e+000,9.3410067744e+000,3.4252303800e+000,4.3221976076e+000,3.5292119525e+000,4.4976420912e+000,
2.8125000000e-001,3.3314010942e+000,3.4404604861e+000,2.3091137215e+000,4.7700169459e+000,3.3142321462e+000,3.7699047092e+000,2.1490494065e+000,2.8723799257e+000,2.7864548909e+000,9.4219603660e+000,3.3211012359e+000,4.3668629042e+000,3.5128363016e+000,4.5553779174e+000,
3.7500000000e-001,3.2176484392e+000,3.4178427849e+000,2.2026447015e+000,4.7407721284e+000,3.4151537064e+000,3.7576156243e+000,2.1590994891e+000,2.8983256147e+000,2.7910382467e+000,9.4632745462e+000,3.2473435909e+000,4.3954824380e+000,3.5152780839e+000,4.5773387714e+000,
4.6875000000e-001,3.3228624759e+000,3.5443108476e+000,2.2422657141e+000,4.7362169289e+000,3.4280858147e+000,3.9846077374e+000,2.2037007367e+000,3.0978586971e+000,2.7862189736e+000,9.4697342800e+000,3.2998381100e+000,4.4232086004e+000,3.5020839239e+000,4.6029300722e+000,
5.6250000000e-001,3.3498015910e+000,3.5348674155e+000,2.2168386018e+000,4.6995267992e+000,3.3834832418e+000,4.0463681942e+000,2.2583352156e+000,3.1800100938e+000,2.8897935268e+000,9.4432890421e+000,3.2490863884e+000,4.3740724796e+000,3.4926532756e+000,4.5873679903e+000,
6.5625000000e-001,3.3692598154e+000,3.4264062330e+000,2.1574301051e+000,4.7005270549e+000,3.3960348070e+000,4.0536783833e+000,2.3047830656e+000,3.2021820791e+000,2.9250656889e+000,9.4144789714e+000,3.3002075860e+000,4.3284896877e+000,3.4648114950e+000,4.6207410942e+000,
7.5000000000e-001,3.4007538820e+000,3.5007024461e+000,2.2686027893e+000,4.5732151764e+000,3.4324361457e+000,4.1481405117e+000,2.3535349584e+000,3.2722381569e+000,2.8281417541e+000,9.2354533917e+000,3.3690505408e+000,4.1162202105e+000,3.4438054553e+000,4.4661203975e+000,
8.4375000000e-001,3.3825260474e+000,3.4334342684e+000,2.2804362541e+000,4.3469743317e+000,3.5082090272e+000,4.2149705422e+000,2.3810653535e+000,3.2619885615e+000,2.8592175425e+000,8.9773345466e+000,3.4060345032e+000,3.8813590324e+000,3.4818223827e+000,4.2731840894e+000,
9.3750000000e-001,3.3978149541e+000,3.5387954850e+000,2.4160816682e+000,4.4612271106e+000,3.5399258626e+000,4.2787821273e+000,2.3967460494e+000,3.3048804089e+000,2.8986040443e+000,9.3310091115e+000,3.2733991035e+000,4.0268205459e+000,3.3360086333e+000,4.4989144254e+000,
1.0312500000e+000,3.8049759921e+000,3.5548427534e+000,2.4900953264e+000,4.3592109945e+000,3.9147632526e+000,4.2441091145e+000,2.4779144357e+000,3.2849386790e+000,2.9459643567e+000,9.2921020771e+000,3.3299416969e+000,3.9768895014e+000,3.4288247044e+000,4.5297945954e+000,
1.1250000000e+000,3.7779507033e+000,3.4436026663e+000,2.4569076776e+000,3.9893632984e+000,3.9745790135e+000,4.2789820140e+000,2.5081665977e+000,3.2689385810e+000,3.0447045801e+000,8.9135804386e+000,3.4039608683e+000,3.5823416435e+000,3.5006582201e+000,4.4122698792e+000,
