Time (s),AF3,AF4,F3,F4,F7,F8,FC5,FC6,T7,T8,P7,P8,O1,O2,Sampling Rate
0.0000000000e+000,4.9848711133e+000,5.2133182118e+000,5.0923931325e+000,4.7084913526e+000,4.8407460638e+000,3.5655703448e+000,2.7100704416e+000,1.1670328224e+000,1.1605847408e+001,5.1134612431e+000,3.9155299367e+000,5.6161644900e+000,2.6798112646e+000,2.3839564571e+000,1
9.3750000000e-002,5.0759399204e+000,5.2542800266e+000,5.1607197997e+000,4.8022382387e+000,5.0870980328e+000,3.5873129828e+000,2.7032239936e+000,1.1748680382e+000,1.1733266716e+001,5.2267928339e+000,3.9055422576e+000,5.7332049689e+000,2.8051093294e+000,2.5511994275e+000,
1.8750000000e-001,5.1301916326e+000,5.2946525590e+000,5.2110625628e+000,4.8357031593e+000,5.4692168175e+000,3.6139778095e+000,2.7566174993e+000,1.2392966873e+000,1.2454858415e+001,5.2670590312e+000,3.9501724002e+000,5.7640029197e+000,2.8566040733e+000,2.6252358290e+000,
2.8125000000e-001,5.1383070335e+000,5.3191630486e+000,5.2172722965e+000,4.8485702628e+000,5.5231964428e+000,3.6624821233e+000,2.6798972591e+000,1.2318769588e+000,1.2506089465e+001,5.2937320392e+000,3.9696217305e+000,5.8082752143e+000,2.8854546390e+000,2.6662378120e+000,
3.7500000000e-001,5.1767757427e+000,5.3514095460e+000,5.2475530826e+000,4.8613415423e+000,5.5754066624e+000,3.6843582537e+000,2.7715888259e+000,1.1914154816e+000,1.2544740715e+001,5.3124893068e+000,3.9583349846e+000,5.8562505157e+000,2.9323759868e+000,2.6946351454e+000,
4.6875000000e-001,5.2047744557e+000,5.3973458112e+000,5.2762619090e+000,4.9063848761e+000,5.6155162231e+000,3.6739802298e+000,2.8889690519e+000,1.0818607092e+000,1.2564376785e+001,5.3640137104e+000,3.9751168168e+000,5.8439329420e+000,3.0070069039e+000,2.7394316225e+000,
5.6250000000e-001,5.1982638516e+000,5.3735516272e+000,5.2710520975e+000,4.8861037962e+000,5.6226443749e+000,3.6206704818e+000,2.8951436724e+000,1.1686700175e+000,1.2569010941e+001,5.3621968935e+000,3.9572504777e+000,5.9088914450e+000,3.0275798628e+000,2.7782103432e+000,
6.5625000000e-001,5.1571927800e+000,5.3368959304e+000,5.2453508323e+000,4.8541242407e+000,5.6277236581e+000,3.6091596801e+000,2.8858664030e+000,1.2168833659e+000,1.2569750970e+001,5.3269599351e+000,4.0002826192e+000,6.0073122712e+000,3.0543218692e+000,2.8025602433e+000,
7.5000000000e-001,5.1485487587e+000,5.3391111733e+000,5.2379540692e+000,4.8493324363e+000,5.5932800839e+000,3.6080929300e+000,3.0102976012e+000,1.1761819299e+000,1.2531921990e+001,5.3291546049e+000,4.1498302360e+000,6.4365976356e+000,3.1890630983e+000,2.8780290810e+000,
8.4375000000e-001,5.0707961725e+000,5.2219960746e+000,5.1215433489e+000,4.7765553488e+000,5.5767986524e+000,3.4092694075e+000,3.0350156647e+000,1.1500222658e+000,1.2512616965e+001,5.1356733428e+000,4.0319870586e+000,6.3067377713e+000,3.1611958789e+000,2.7804376615e+000,
9.3750000000e-001,4.5538171539e+000,4.7744097855e+000,4.5508000903e+000,4.2783286721e+000,5.3896973370e+000,3.0930387969e+000,2.9137918203e+000,1.2109154987e+000,1.2255988373e+001,4.7561020715e+000,3.6501378038e+000,6.2394410574e+000,2.8291626286e+000,2.5827253116e+000,
1.0312500000e+000,4.3051650459e+000,4.5470338229e+000,4.3039983049e+000,4.0437244196e+000,5.1282055728e+000,2.9240061499e+000,2.7637754899e+000,1.1932992354e+000,1.2138111952e+001,4.4707901115e+000,3.5424231274e+000,6.2332465406e+000,2.7478643507e+000,2.5716593310e+000,
1.1250000000e+000,4.1092005185e+000,4.4002451288e+000,4.1262239699e+000,3.8381949131e+000,4.6631113232e+000,2.6897128269e+000,2.7755579780e+000,1.1593486230e+000,1.1837106535e+001,4.2771041363e+000,3.4589373397e+000,6.1853022283e+000,2.6457623326e+000,2.4667849621e+000,
