Time (s),AF3,AF4,F3,F4,F7,F8,FC5,FC6,T7,T8,P7,P8,O1,O2,Sampling Rate
0.0000000000e+000,3.7774251092e+000,4.1044766035e+000,3.6586997269e+000,3.8184067017e+000,3.5122999240e+000,3.8365470800e+000,3.4045814291e+000,2.9189815243e+000,3.8554169262e+000,3.6616842477e+000,3.1250789041e+000,3.7118661044e+000,2.9467796330e+000,3.2432744338e+000,1
9.3750000000e-002,3.8435038769e+000,4.0979328682e+000,3.6648845845e+000,3.7496177679e+000,3.5013496015e+000,3.8576239736e+000,3.3872957910e+000,2.8964922812e+000,3.8456046723e+000,3.6815003098e+000,3.1455800606e+000,3.7054997883e+000,2.8355189564e+000,3.2216547509e+000,
1.8750000000e-001,4.2107026702e+000,4.2278200788e+000,3.9819403959e+000,3.8778411700e+000,3.7410512588e+000,4.0452431871e+000,3.6708921158e+000,2.9915295295e+000,3.9650370295e+000,3.7892091878e+000,3.2147314739e+000,3.7319128713e+000,2.7506117139e+000,3.2919083108e+000,
2.8125000000e-001,4.2059049072e+000,4.2092242537e+000,4.0009117189e+000,3.8308835629e+000,3.7227690214e+000,4.0105961694e+000,3.6391507998e+000,2.9619676959e+000,3.9577160149e+000,3.8212558275e+000,3.1676819060e+000,3.7166408698e+000,2.5429749581e+000,3.2149692648e+000,
3.7500000000e-001,4.1152670133e+000,4.1268234872e+000,3.9590304093e+000,3.8741070595e+000,3.5915037809e+000,3.9352408895e+000,3.5337841505e+000,2.7341424785e+000,4.2029572637e+000,3.7315226007e+000,3.0057049099e+000,3.6348795856e+000,2.3758524294e+000,3.1582130238e+000,
4.6875000000e-001,4.1194736211e+000,4.1559131173e+000,4.0317818191e+000,3.9986102872e+000,3.5836021160e+000,3.9485008383e+000,3.5682295496e+000,2.7851129071e+000,4.1983990141e+000,3.7443981565e+000,2.9754981798e+000,3.5840378224e+000,2.3792373643e+000,3.1498751122e+000,
5.6250000000e-001,4.0958705582e+000,4.0678516788e+000,4.0122967685e+000,3.9780746048e+000,3.5962319254e+000,3.8502137803e+000,3.5863635281e+000,2.7297664491e+000,4.1749070900e+000,3.6847936279e+000,2.8913592577e+000,3.4812600220e+000,2.3072026928e+000,3.1172332739e+000,
6.5625000000e-001,4.1224734126e+000,4.0953845250e+000,4.0014126360e+000,4.0245113129e+000,3.6412612560e+000,3.8169683820e+000,3.6086768068e+000,2.7960903144e+000,4.2822431299e+000,3.6430725771e+000,2.7756262980e+000,3.4751186594e+000,2.3047042391e+000,3.2352449145e+000,
7.5000000000e-001,4.1655201742e+000,4.1367473815e+000,4.0554882501e+000,4.1062319279e+000,3.7498859522e+000,3.8708585659e+000,3.7368577483e+000,2.8983171703e+000,4.2847344969e+000,3.6855555657e+000,2.7506895096e+000,3.4337034535e+000,2.3214578824e+000,3.3082721576e+000,
8.4375000000e-001,4.0510793132e+000,4.0563182419e+000,3.9331253795e+000,4.0851949753e+000,3.6109258457e+000,3.7979742316e+000,3.6063070781e+000,2.8711558028e+000,4.2155239969e+000,3.6726433629e+000,2.7569484773e+000,3.3912105036e+000,2.3664010998e+000,3.2831721915e+000,
9.3750000000e-001,4.0274813198e+000,3.9274365760e+000,3.8861145991e+000,3.9690968609e+000,3.6060962615e+000,3.7646300722e+000,3.6065010601e+000,2.8925205683e+000,4.3627753536e+000,3.7295725976e+000,2.9176394464e+000,3.3922026616e+000,2.4444572356e+000,3.3803038455e+000,
1.0312500000e+000,4.0191243629e+000,3.8972389903e+000,3.8305286138e+000,3.9617937046e+000,3.5246633328e+000,3.6692025409e+000,3.5676549164e+000,2.7798202856e+000,4.3771585762e+000,3.5919600918e+000,2.9498800196e+000,3.3050480166e+000,2.4575304527e+000,3.3320845736e+000,
1.1250000000e+000,3.7849149569e+000,3.8538910610e+000,3.6448090736e+000,3.9365450329e+000,3.1901861027e+000,3.5600866978e+000,3.3509321272e+000,2.7943981672e+000,4.3925607772e+000,3.5524048992e+000,2.9426074790e+000,3.3169639330e+000,2.4412487063e+000,3.3407611024e+000,
1.2187500000e+000,3.5090457102e+000,3.8269543712e+000,3.4189651199e+000,4.0006132301e+000,3.0969661828e+000,3.4607875460e+000,3.1965339163e+000,2.7774582504e+000,4.3421439809e+000,3.3797788321e+000,2.9637967090e+000,3.2558712666e+000,2.6059467156e+000,3.3278080452e+000,
