Time (s),AF3,AF4,F3,F4,F7,F8,FC5,FC6,T7,T8,P7,P8,O1,O2,Sampling Rate
0.0000000000e+000,3.5056464983e+000,3.1552355290e+000,3.5814524543e+000,3.5424353799e+000,3.6384869159e+000,3.8753812888e+000,3.4897930109e+000,4.0834468056e+000,3.4285271176e+000,4.6358477206e+000,3.1613352320e+000,4.0613158101e+000,3.5762082405e+000,3.5284795716e+000,1
9.3750000000e-002,3.5146967810e+000,3.1564592114e+000,3.5703589016e+000,3.5807101117e+000,3.5804263876e+000,3.8125643530e+000,3.4281241089e+000,4.0579753715e+000,3.2889151662e+000,4.6759407610e+000,3.1490498382e+000,4.0433958383e+000,3.5723527370e+000,3.5915883187e+000,
1.8750000000e-001,3.5181915792e+000,3.1673718602e+000,3.5645754646e+000,3.5967946414e+000,3.5708449778e+000,3.8012423786e+000,3.3680625070e+000,4.0594603820e+000,3.2767793681e+000,4.6821580077e+000,3.2105677151e+000,4.0466169059e+000,3.5905204920e+000,3.6178794930e+000,
2.8125000000e-001,3.5256522613e+000,3.2013491614e+000,3.5887696086e+000,3.6875813196e+000,3.6376951492e+000,3.8685719606e+000,3.4534799201e+000,4.1973868073e+000,3.3755701728e+000,4.7852565711e+000,3.2463734897e+000,4.1366598083e+000,3.7086860481e+000,3.7536982100e+000,
3.7500000000e-001,3.7223256925e+000,3.1732683861e+000,3.6831724001e+000,3.7835030610e+000,3.6923261678e+000,3.8155175529e+000,3.4574842527e+000,4.0656823168e+000,3.3472568323e+000,4.8200057065e+000,3.2084553809e+000,4.0807801954e+000,3.6744329185e+000,3.7090068870e+000,
4.6875000000e-001,3.7100465393e+000,3.2279565271e+000,3.6987339022e+000,3.8054721355e+000,3.6459464578e+000,3.7993769468e+000,3.4080612949e+000,4.0287896595e+000,3.3897080573e+000,4.7690118421e+000,3.1796905704e+000,3.9723807309e+000,3.7117281280e+000,3.7032718652e+000,
5.6250000000e-001,3.8182473470e+000,3.2251535503e+000,3.6842474402e+000,3.7814417380e+000,3.6653615663e+000,3.8531967543e+000,3.3468523971e+000,3.9204781503e+000,3.3228399409e+000,4.7650886089e+000,3.0459695384e+000,3.8972654245e+000,3.5986660731e+000,3.5717984675e+000,
6.5625000000e-001,3.7142135460e+000,3.1375550329e+000,3.5921825153e+000,3.6609324900e+000,3.5882076266e+000,3.7287771026e+000,3.0737942060e+000,3.7417159130e+000,3.0918241870e+000,4.5853739962e+000,2.8272752846e+000,3.6884731650e+000,3.5227193527e+000,3.5777834260e+000,
7.5000000000e-001,3.7674820494e+000,3.2934830535e+000,3.6598349331e+000,3.7006598641e+000,3.5985587280e+000,3.7669951574e+000,3.1590072349e+000,3.8452450176e+000,3.1491118082e+000,4.6028113040e+000,2.9214031413e+000,3.6335507631e+000,3.5531765928e+000,3.6299080982e+000,
8.4375000000e-001,3.7385818713e+000,3.2548698487e+000,3.5959052575e+000,3.6274321874e+000,3.5819755046e+000,3.7199700187e+000,3.1037181065e+000,3.8401310953e+000,3.2056873489e+000,4.4959706546e+000,2.8767532988e+000,3.4553384499e+000,3.5245336126e+000,3.5684163077e+000,
9.3750000000e-001,3.8337548608e+000,3.2345451551e+000,3.6163774576e+000,3.5764887556e+000,3.6834929369e+000,3.6821097800e+000,3.0579974507e+000,3.7498166330e+000,3.2214432582e+000,4.4540264463e+000,2.8493030101e+000,3.4913926156e+000,3.5050185482e+000,3.5777477553e+000,
1.0312500000e+000,3.9303256609e+000,3.2317455147e+000,3.5700344780e+000,3.5063858206e+000,3.7822680333e+000,3.6716733405e+000,3.1754750157e+000,3.8600369203e+000,3.2810343541e+000,4.4466159601e+000,2.7611160564e+000,3.5844335322e+000,3.4895236848e+000,3.6079717857e+000,
1.1250000000e+000,3.8781001694e+000,3.2410260102e+000,3.5587283643e+000,3.5441556265e+000,3.7925152660e+000,3.7442233283e+000,3.1527324683e+000,3.9081414072e+000,3.3527027006e+000,4.5015833236e+000,2.9673405947e+000,3.6669288041e+000,3.5943569408e+000,3.6489802233e+000,
1.2187500000e+000,3.8518789863e+000,3.2306583886e+000,3.5282444279e+000,3.5840720613e+000,3.7995047214e+000,3.8006789945e+000,3.0944489408e+000,3.8650837136e+000,3.3360360411e+000,4.6137206244e+000,2.9819625195e+000,3.6577534581e+000,3.5963312074e+000,3.5420291799e+000,
1.3125000000e+000,3.8842641294e+000,3.2734029033e+000,3.5873485174e+000,3.5557744377e+000,3.8474563707e+000,3.8367046194e+000,3.1784801957e+000,3.8332607134e+000,3.3762037170e+000,4.5227121529e+000,2.9691705347e+000,3.7049619027e+000,3.5447601231e+000,3.5087657060e+000,
1.4062500000e+000,3.7986507108e+000,3.3436756420e+000,3.5294594547e+000,3.4543283395e+000,3.8189258104e+000,3.9075511210e+000,3.2421064095e+000,3.8313899309e+000,3.4768052415e+000,4.5980536900e+000,3.0892639822e+000,3.6938268435e+000,3.5827823564e+000,3.5274107401e+000,
1.5000000000e+000,3.7297664634e+000,3.2786556523e+000,3.4818952031e+000,3.3852709604e+000,3.7704028802e+000,3.8446511430e+000,3.2523131736e+000,3.8821920241e+000,3.4368732166e+000,4.4918079066e+000,3.0483322147e+000,3.6667476461e+000,3.5181302182e+000,3.5054045303e+000,
1.5937500000e+000,3.7362121947e+000,3.2724461418e+000,3.5141566498e+000,3.4113398695e+000,3.8259822428e+000,3.8045481478e+000,3.3278366099e+000,3.9189406929e+000,3.4453209618e+000,4.5005724940e+000,3.0552927959e+000,3.7281982035e+000,3.4975903722e+000,3.5488506128e+000,
1.6875000000e+000,3.7242340607e+000,3.2942744378e+000,3.5677053864e+000,3.4409376874e+000,3.7583464878e+000,3.8095047830e+000,3.3461429310e+000,3.9393033083e+000,3.5112333648e+000,4.5132727729e+000,3.1039510238e+000,3.7500374916e+000,3.6443102249e+000,3.5153330942e+000,
1.7812500000e+000,3.7021774159e+000,3.2176795403e+000,3.5176127809e+000,3.4712584868e+000,3.7160047192e+000,3.7163258164e+000,3.2535561678e+000,3.8722999330e+000,3.4800935022e+000,4.4767390989e+000,3.1059852910e+000,3.7196856493e+000,3.7452221974e+000,3.5470558645e+000,
1.8750000000e+000,3.8604472743e+000,3.3498024796e+000,3.6990208193e+000,3.7707300081e+000,3.9421555603e+000,3.9350044248e+000,3.4729496305e+000,4.1030855902e+000,3.7479203470e+000,4.6443307593e+000,3.3181205768e+000,3.8937074136e+000,3.8345100705e+000,3.6462135004e+000,
1.9687500000e+000,3.8699025918e+000,3.4319035947e+000,3.8623326059e+000,3.9134019777e+000,4.0624605086e+000,4.0262860513e+000,3.6449549022e+000,4.2333686006e+000,3.8536916197e+000,4.7753542554e+000,3.4441582183e+000,4.0052786450e+000,3.9285247693e+000,3.7664736386e+000,
2.0625000000e+000,3.8808445698e+000,3.3869323074e+000,3.8700764219e+000,3.9555042061e+000,4.0623659859e+000,4.0235338714e+000,3.6263032712e+000,4.1339173688e+000,3.9148655551e+000,4.7694577863e+000,3.5366723154e+000,4.0660087313e+000,3.9272548289e+000,3.6834738367e+000,
2.1562500000e+000,3.8532548385e+000,3.2877571005e+000,3.8382811651e+000,3.8978980928e+000,4.0765482279e+000,3.9320621555e+000,3.6345668279e+000,4.0580833883e+000,3.8838123445e+000,4.6422427329e+000,3.4536540592e+000,4.0243286771e+000,3.8626599020e+000,3.6064434560e+000,
2.2500000000e+000,3.8350505314e+000,3.2370649979e+000,3.8401006556e+000,3.8990699759e+000,4.0197254537e+000,3.8942315791e+000,3.6902472310e+000,4.0703357596e+000,3.8785042487e+000,4.5388163963e+000,3.4036863421e+000,3.9869339777e+000,3.8307500963e+000,3.5674418595e+000,
2.3437500000e+000,3.8298444422e+000,3.2275203477e+000,3.8587578866e+000,4.0085074259e+000,4.0300934454e+000,3.9649117123e+000,3.6376989804e+000,4.1517863283e+000,3.8398400145e+000,4.5736535323e+000,3.3648499387e+000,4.0409691976e+000,3.8057758002e+000,3.5795312814e+000,
2.4375000000e+000,3.8882954248e+000,3.2619552648e+000,3.8496476153e+000,4.0489298599e+000,4.1027292295e+000,3.9708637018e+000,3.6800371158e+000,4.2072342709e+000,3.8776326799e+000,4.4941507106e+000,3.3958301197e+000,4.0204847991e+000,3.8608663059e+000,3.5725706895e+000,
2.5312500000e+000,3.8741170797e+000,3.1975544824e+000,3.8734666755e+000,4.0278735771e+000,4.1010056366e+000,3.9066373423e+000,3.7099560924e+000,4.1235940844e+000,3.9097505025e+000,4.4840084384e+000,3.4122041925e+000,4.0433717290e+000,3.8703460780e+000,3.5619816586e+000,
2.6250000000e+000,3.8691370450e+000,3.2306244010e+000,3.8232807529e+000,3.9933049489e+000,4.1257624073e+000,3.9413519855e+000,3.7131971796e+000,4.1727161754e+000,3.8935915092e+000,4.5346628859e+000,3.4077155786e+000,4.1142148767e+000,3.8504864456e+000,3.5798393238e+000,
2.7187500000e+000,3.9403191438e+000,3.3587506217e+000,3.8829222612e+000,4.0582326250e+000,4.1048949090e+000,3.9932661555e+000,3.7177491224e+000,4.2256348972e+000,3.8717210979e+000,4.5808648283e+000,3.3364906602e+000,4.0935061228e+000,3.7204063118e+000,3.4969140170e+000,
2.8125000000e+000,3.8500399269e+000,3.3316814609e+000,3.8070772009e+000,3.9403466241e+000,4.0458447680e+000,3.9383751292e+000,3.7117357115e+000,4.1618049399e+000,3.7813274086e+000,4.5785817541e+000,3.3011517871e+000,4.0689759828e+000,3.4941823521e+000,3.3853825127e+000,
2.9062500000e+000,3.7539947560e+000,3.2092498558e+000,3.6999967946e+000,3.8222982340e+000,3.8898642177e+000,3.7950989753e+000,3.5973882643e+000,4.0127672858e+000,3.5510617908e+000,4.4667341858e+000,3.1816244810e+000,4.0006220961e+000,3.6259395310e+000,3.4433116532e+000,
3.0000000000e+000,3.6819938739e+000,3.1870087617e+000,3.6079763000e+000,3.7421673619e+000,3.7556391449e+000,3.7413692243e+000,3.5646700644e+000,3.9986181466e+000,3.5159230669e+000,4.3628851478e+000,3.1430533082e+000,3.9085268899e+000,3.6086934904e+000,3.4107302727e+000,
