Time (s),AF3,AF4,F3,F4,F7,F8,FC5,FC6,T7,T8,P7,P8,O1,O2,Sampling Rate
0.0000000000e+000,3.8449402091e+000,3.7591098711e+000,2.8564318857e+000,3.2118314215e+000,3.9408845321e+000,3.1022237871e+000,2.3339102862e+000,2.9841354407e+000,2.7326137936e+000,3.4509254256e+000,2.4237021720e+000,3.3034981753e+000,3.6367390336e+000,3.9184834501e+000,1
9.3750000000e-002,3.5026267996e+000,3.6439458833e+000,2.7764692124e+000,3.1054023341e+000,3.7265480692e+000,3.0988333605e+000,2.2504176989e+000,2.9044578564e+000,2.5847474786e+000,3.3519866692e+000,2.3541680547e+000,3.1766397070e+000,3.5861637878e+000,3.9143919721e+000,
1.8750000000e-001,3.1446818052e+000,3.5098525525e+000,2.6176278136e+000,3.1029935554e+000,3.5034475996e+000,3.0104972002e+000,2.3299009332e+000,2.9146585101e+000,2.5267891455e+000,3.3703099802e+000,2.3438780114e+000,3.2371364873e+000,3.5684687522e+000,4.0001605124e+000,
2.8125000000e-001,3.2625789526e+000,3.5241260627e+000,2.7227005249e+000,3.1435834433e+000,3.5042026193e+000,3.0116935082e+000,2.4509648061e+000,2.9404831794e+000,2.5532192492e+000,3.3845497804e+000,2.5117095739e+000,3.2098394134e+000,3.6247517457e+000,3.9853777713e+000,
3.7500000000e-001,3.3441991249e+000,3.5546296187e+000,2.7819372912e+000,3.1332288381e+000,3.5236608646e+000,3.0174924027e+000,2.5297570244e+000,2.9262165358e+000,2.6042928708e+000,3.3834294415e+000,2.5175734430e+000,3.1732468468e+000,3.5806411320e+000,3.9961250393e+000,
4.6875000000e-001,3.3429405555e+000,3.4667698984e+000,2.7664759114e+000,3.0525130831e+000,3.6086999493e+000,2.8936644678e+000,2.6001682266e+000,2.8832739404e+000,2.5475514504e+000,3.3632721131e+000,2.5777718472e+000,3.2131966879e+000,3.7008898055e+000,4.1614013821e+000,
5.6250000000e-001,3.3450990605e+000,3.4580294771e+000,2.7255676441e+000,2.9553644180e+000,3.5705240263e+000,2.8309238860e+000,2.6471590839e+000,2.8362223576e+000,2.5597976607e+000,3.3883663207e+000,2.6542511433e+000,3.3550106011e+000,3.8073939852e+000,4.2713192702e+000,
6.5625000000e-001,3.2750812478e+000,3.4218874165e+000,2.6319423370e+000,2.9598779420e+000,3.4831992349e+000,2.8075149492e+000,2.6371651685e+000,2.8037068445e+000,2.5613317350e+000,3.3513913928e+000,2.6061242910e+000,3.3391495079e+000,3.7891186533e+000,4.2745229878e+000,
7.5000000000e-001,3.3423779095e+000,3.4898497496e+000,2.7583855880e+000,3.1400050410e+000,3.5771329408e+000,3.0167910283e+000,2.6539295727e+000,2.8940887960e+000,2.5315163487e+000,3.4408543832e+000,2.5727586376e+000,3.3763453265e+000,3.6974956104e+000,4.2885750811e+000,
8.4375000000e-001,3.4228452381e+000,3.5290155198e+000,2.7789401795e+000,3.1863348441e+000,3.6322954378e+000,2.9671515537e+000,2.7309185786e+000,2.9420784537e+000,2.6542010155e+000,3.4126834140e+000,2.5737493772e+000,3.4260713048e+000,3.5981511275e+000,4.2398828476e+000,
9.3750000000e-001,3.4092167797e+000,3.4388885757e+000,2.8198003958e+000,3.2159259470e+000,3.5267656704e+000,2.9266561034e+000,2.7633536803e+000,2.8994391081e+000,2.5499171585e+000,3.3478854654e+000,2.5797497948e+000,3.2957397513e+000,3.5106266177e+000,4.1611421578e+000,
1.0312500000e+000,3.3487707797e+000,3.4153405622e+000,2.8036632993e+000,3.1618149692e+000,3.3693253860e+000,2.9368630463e+000,2.8365618215e+000,2.8324529250e+000,2.4895012556e+000,3.2240571443e+000,2.5812396186e+000,3.2370742898e+000,3.3849244125e+000,4.2727718249e+000,
1.1250000000e+000,3.5124195730e+000,3.5255352844e+000,2.8817023954e+000,3.1305505462e+000,3.4635297140e+000,3.1228846944e+000,2.8381593922e+000,2.8809002233e+000,2.5297839323e+000,3.2533531097e+000,2.5674987926e+000,3.2514103729e+000,3.3680941350e+000,4.2097244031e+000,
1.2187500000e+000,3.7952854007e+000,3.7171617306e+000,3.0796749178e+000,3.2357811054e+000,3.5512438565e+000,3.3639762152e+000,2.7579665465e+000,3.0266005723e+000,2.6169564475e+000,3.4545080045e+000,2.6297139696e+000,3.3165408019e+000,3.4018906424e+000,4.2117090503e+000,
1.3125000000e+000,3.7145666178e+000,3.6596356071e+000,3.0260447802e+000,3.2562203333e+000,3.5244796155e+000,3.3594324135e+000,2.7142238736e+000,2.9955876965e+000,2.6560239712e+000,3.4731702154e+000,2.5750774631e+000,3.4315904981e+000,3.3110966707e+000,4.2297011164e+000,
1.4062500000e+000,3.7495047178e+000,3.6903857771e+000,3.0678710316e+000,3.2697880143e+000,3.5595929612e+000,3.3313739267e+000,2.6479563584e+000,2.9645261692e+000,2.7156943898e+000,3.5047136341e+000,2.6607474675e+000,3.5103233738e+000,3.3147045138e+000,4.1969019685e+000,
1.5000000000e+000,3.8569569522e+000,3.7473156159e+000,3.1130701569e+000,3.2691224114e+000,3.5904717217e+000,3.3588903472e+000,2.6162524684e+000,2.9989148713e+000,2.7471161728e+000,3.5354630020e+000,2.7626611498e+000,3.4560380322e+000,3.1432170880e+000,4.0570567727e+000,
1.5937500000e+000,3.8355960695e+000,3.7720250150e+000,3.1114567057e+000,3.3061688082e+000,3.6018894719e+000,3.3542536786e+000,2.5990765737e+000,3.0148071723e+000,2.7471467292e+000,3.4865017586e+000,2.7595240524e+000,3.4759151226e+000,3.0595555204e+000,4.0857914741e+000,
1.6875000000e+000,3.8462036560e+000,3.7838587004e+000,3.1304858341e+000,3.3023580053e+000,3.5490546127e+000,3.3359724800e+000,2.6010608367e+000,3.0052099311e+000,2.7212107021e+000,3.5144956967e+000,2.7073272300e+000,3.4860735135e+000,3.0853416002e+000,4.1612537373e+000,
1.7812500000e+000,3.8003430159e+000,3.7200267053e+000,3.0345152203e+000,3.1375822635e+000,3.3639742835e+000,3.1139343945e+000,2.6026873813e+000,2.8641869809e+000,2.6253283677e+000,3.3525369496e+000,2.6945246079e+000,3.3903917703e+000,3.0433065141e+000,4.1456623014e+000,
1.8750000000e+000,3.9155869196e+000,3.7196345739e+000,3.1294235204e+000,3.1546659783e+000,3.3579404455e+000,3.1350643989e+000,2.6993555485e+000,2.8369261056e+000,2.5224774979e+000,3.3987428041e+000,2.5947426323e+000,3.3626506976e+000,3.1521968362e+000,4.2130701041e+000,
1.9687500000e+000,3.8801865853e+000,3.7171791746e+000,3.1022998436e+000,3.1074129545e+000,3.4211657912e+000,3.0839063755e+000,2.7062007631e+000,2.8129269603e+000,2.4670742868e+000,3.4042749687e+000,2.5919112746e+000,3.3903258802e+000,3.2454760526e+000,4.1961441779e+000,
2.0625000000e+000,3.8822252148e+000,3.6919811716e+000,3.0983444318e+000,3.1511882770e+000,3.4652283292e+000,3.1004273629e+000,2.6763778931e+000,2.8221256192e+000,2.4365952236e+000,3.5218255376e+000,2.6536684784e+000,3.5003618166e+000,3.3282758258e+000,4.1602272755e+000,
2.1562500000e+000,3.7187075943e+000,3.5121568710e+000,3.0871003535e+000,3.0931260071e+000,3.3348645224e+000,2.7102374828e+000,2.7192009383e+000,2.7250645268e+000,2.2639613339e+000,3.3580446445e+000,2.6656532578e+000,3.4336006873e+000,3.3385601756e+000,4.1574225670e+000,
2.2500000000e+000,3.6843243747e+000,3.5335344264e+000,3.1013183576e+000,3.1334530507e+000,3.2932767804e+000,2.6086843967e+000,2.8134468124e+000,2.7078324482e+000,2.2461476040e+000,3.3270893925e+000,2.5739457673e+000,3.3724136893e+000,3.3457615569e+000,4.1421293394e+000,
2.3437500000e+000,3.6376300219e+000,3.5566019584e+000,3.0541150659e+000,3.1592915635e+000,3.2994313675e+000,2.5751699460e+000,2.7560814350e+000,2.7744655471e+000,2.2970003686e+000,3.4085969079e+000,2.4718404962e+000,3.3670301461e+000,3.3541935449e+000,4.1596959828e+000,
2.4375000000e+000,3.7116309464e+000,3.7205423611e+000,3.1990961212e+000,3.3618053627e+000,3.3174700148e+000,2.6294793860e+000,2.8373471901e+000,2.9062459043e+000,2.2781495640e+000,3.4951303438e+000,2.5352289113e+000,3.3944359083e+000,3.4269692223e+000,4.2193437907e+000,
2.5312500000e+000,3.7079100368e+000,3.7321170488e+000,3.2122069091e+000,3.3742960538e+000,3.1942224305e+000,2.6925714917e+000,2.7891889052e+000,2.8851383905e+000,2.3074702770e+000,3.4746710482e+000,2.2957112895e+000,3.3484616850e+000,3.4235133528e+000,4.2278047942e+000,
2.6250000000e+000,3.7690295875e+000,3.7069292351e+000,3.2304842214e+000,3.4086783598e+000,3.2567069015e+000,2.7390518560e+000,2.8086978379e+000,2.9489212582e+000,2.4138875861e+000,3.6325304487e+000,2.4209675299e+000,3.4284846136e+000,3.3358006730e+000,4.1115407346e+000,
2.7187500000e+000,3.7904976137e+000,3.6904882612e+000,3.2324611367e+000,3.3921338308e+000,3.3796503112e+000,2.7677806115e+000,2.8860015466e+000,2.9592328865e+000,2.5273981727e+000,3.6440467200e+000,2.5607627037e+000,3.4481272088e+000,3.2700939296e+000,4.1360767618e+000,
2.8125000000e+000,3.7605193869e+000,3.7010586300e+000,3.2483639952e+000,3.4029941226e+000,3.4143333988e+000,2.7518693376e+000,2.8917417881e+000,2.9443499681e+000,2.5930194998e+000,3.6444796139e+000,2.6309366525e+000,3.4909652787e+000,3.3273369850e+000,4.2446227122e+000,
2.9062500000e+000,3.6322826721e+000,3.6128450263e+000,3.1529386358e+000,3.3787494833e+000,3.3325740874e+000,2.7636621789e+000,2.8709937647e+000,2.9103191250e+000,2.5777344597e+000,3.6625855065e+000,2.6702933648e+000,3.5284120516e+000,3.2568648033e+000,4.2800988301e+000,
3.0000000000e+000,3.7285439073e+000,3.7529183790e+000,3.3229037835e+000,3.5387273002e+000,3.4433870803e+000,2.8795665296e+000,2.9127659005e+000,3.0467548694e+000,2.6440599278e+000,3.7894968767e+000,2.6546246659e+000,3.5219237412e+000,3.2954666126e+000,4.2919218127e+000,
3.0937500000e+000,3.8114383840e+000,3.8541672595e+000,3.3608107041e+000,3.5882468191e+000,3.5151561416e+000,3.0857131260e+000,2.9309227411e+000,3.1640947501e+000,2.6781843200e+000,3.8832082021e+000,2.6113865033e+000,3.6228609060e+000,3.2145191130e+000,4.3322386808e+000,
3.1875000000e+000,3.8303545798e+000,3.8608928965e+000,3.3976571601e+000,3.6200254602e+000,3.5675844390e+000,3.0693789132e+000,2.8855842175e+000,3.1875024134e+000,2.6558277520e+000,3.9334280477e+000,2.5950120169e+000,3.7320112887e+000,3.2641299422e+000,4.3967128127e+000,
3.2812500000e+000,3.8298633188e+000,3.8028913655e+000,3.3813599585e+000,3.5860790419e+000,3.5833256117e+000,3.1020130130e+000,2.8893461333e+000,3.1326195587e+000,2.5969941127e+000,3.9574833712e+000,2.5917290711e+000,3.7447565243e+000,3.2435441325e+000,4.3633264539e+000,
3.3750000000e+000,3.7897304009e+000,3.7418438423e+000,3.3338312012e+000,3.5466588883e+000,3.6005619713e+000,3.0951682655e+000,2.8504241583e+000,3.0890768949e+000,2.5611417645e+000,3.9339152994e+000,2.5580493690e+000,3.7175699474e+000,3.2268966130e+000,4.3505110674e+000,
3.4687500000e+000,3.6308323977e+000,3.5392218344e+000,3.1644182725e+000,3.3136915991e+000,3.5454245707e+000,2.9981696286e+000,2.7767233024e+000,2.9543613286e+000,2.4828337865e+000,3.8164784244e+000,2.5592239088e+000,3.6465319993e+000,3.1534223305e+000,4.3164724530e+000,
3.5625000000e+000,3.5692080805e+000,3.4725690157e+000,3.1283997598e+000,3.2843155946e+000,3.5964918181e+000,2.9813819747e+000,2.8413305388e+000,2.9159621361e+000,2.4658408554e+000,3.7860323535e+000,2.6157542744e+000,3.6245033343e+000,3.3132624262e+000,4.3163043184e+000,
3.6562500000e+000,3.5909892629e+000,3.5274546399e+000,3.1227749742e+000,3.3279045832e+000,3.6061225388e+000,3.0159285542e+000,2.7997344336e+000,2.9200522476e+000,2.5477441791e+000,3.8114768791e+000,2.5242309762e+000,3.5422156412e+000,3.3309440055e+000,4.2606045508e+000,
3.7500000000e+000,3.5431229148e+000,3.5096723268e+000,3.1421014145e+000,3.3413200174e+000,3.4940629486e+000,3.0882596952e+000,2.7812405864e+000,2.9431670015e+000,2.4950546164e+000,3.7846335587e+000,2.3835683838e+000,3.5335459595e+000,3.3303893914e+000,4.2248277910e+000,
3.8437500000e+000,3.4673229190e+000,3.5229854435e+000,3.1435402760e+000,3.3563195216e+000,3.4562146230e+000,3.1063601007e+000,2.7153686185e+000,2.9398177636e+000,2.4536861884e+000,3.8055080956e+000,2.3333990641e+000,3.5209001112e+000,3.3268163238e+000,4.1351695060e+000,
3.9375000000e+000,3.5388313101e+000,3.5354367481e+000,3.1660948753e+000,3.3533923908e+000,3.4650744912e+000,3.1085912917e+000,2.6897140540e+000,2.9622448444e+000,2.4991077400e+000,3.7556242040e+000,2.3744268580e+000,3.4695274658e+000,3.3750623039e+000,4.0817327901e+000,
4.0312500000e+000,3.3695806908e+000,3.3445411642e+000,2.9588239037e+000,3.1687551083e+000,3.3394650408e+000,2.8804512133e+000,2.6001626563e+000,2.7613324724e+000,2.5092824426e+000,3.5879389147e+000,2.3611285066e+000,3.3608747924e+000,3.4481809846e+000,4.0158991507e+000,
4.1250000000e+000,3.3860323147e+000,3.2515579539e+000,2.9765237129e+000,3.1020561434e+000,3.3113095947e+000,2.7593237427e+000,2.5788484387e+000,2.7251056677e+000,2.4940069180e+000,3.5447776722e+000,2.5306078302e+000,3.2677942702e+000,3.4700964697e+000,3.8868087060e+000,
4.2187500000e+000,3.2066057859e+000,3.1012364919e+000,2.8036390301e+000,2.9749351455e+000,3.1518377103e+000,2.5699219564e+000,2.6109052630e+000,2.5573691682e+000,2.5456322959e+000,3.4094524902e+000,2.7080922292e+000,3.0995343241e+000,3.4350542646e+000,3.8048809599e+000,
4.3125000000e+000,3.4419488396e+000,3.2857775084e+000,3.1273087768e+000,3.1673517865e+000,3.4836728119e+000,2.7197433832e+000,2.7643369641e+000,2.8195325275e+000,2.5350626754e+000,3.5663806816e+000,2.8040808810e+000,3.2851151891e+000,3.6907309880e+000,3.9377796445e+000,
