Time (s),AF3,AF4,F3,F4,F7,F8,FC5,FC6,T7,T8,P7,P8,O1,O2,Sampling Rate
0.0000000000e+000,2.8243657063e+000,3.0010074509e+000,2.5135908426e+000,2.6139593526e+000,3.3313821717e+000,3.4797648256e+000,5.6180909540e+000,3.0196368754e+000,3.2176405624e+000,4.8793100736e+000,2.9410095697e+000,3.2143681008e+000,2.1164283234e+000,2.9446114151e+000,1
9.3750000000e-002,2.8913898821e+000,3.0129316100e+000,2.3304803552e+000,2.6976566799e+000,3.3841714631e+000,3.4700771797e+000,5.5824606418e+000,3.0572251762e+000,3.2277854532e+000,4.9373842262e+000,2.9871781872e+000,3.3634001232e+000,2.1077606071e+000,3.0981277785e+000,
1.8750000000e-001,2.9204541999e+000,2.9522024022e+000,2.4051336962e+000,2.6493905521e+000,3.3748450149e+000,3.3646129304e+000,5.5820587842e+000,3.0873123552e+000,3.2693484301e+000,5.0023396913e+000,3.0163287415e+000,3.4064085211e+000,2.2680702589e+000,3.0846268492e+000,
2.8125000000e-001,2.8693897597e+000,2.9629997695e+000,2.6082240087e+000,2.6753758754e+000,3.3809403221e+000,3.4613942655e+000,4.3876733642e+000,3.1258042706e+000,3.2013750749e+000,4.9632647785e+000,2.9435211567e+000,3.3208608069e+000,2.1771268477e+000,3.0327592894e+000,
3.7500000000e-001,2.9912195682e+000,2.9846605249e+000,2.6143808524e+000,2.6677024228e+000,3.3239457900e+000,3.4474500145e+000,2.8497919714e+000,3.0140672757e+000,3.2817566500e+000,4.9381701214e+000,2.9247662333e+000,3.2905825109e+000,2.3178259613e+000,3.0908089723e+000,
4.6875000000e-001,2.9819126114e+000,3.0253433264e+000,2.6712765655e+000,2.7392392110e+000,3.2900302154e+000,3.4437575059e+000,2.6761247109e+000,3.0214657332e+000,3.2595594084e+000,4.9537016635e+000,2.8679378908e+000,3.2204848927e+000,2.3619945137e+000,2.8916037283e+000,
5.6250000000e-001,2.9859765133e+000,3.0186816343e+000,2.6315482857e+000,2.7152591664e+000,3.3228145667e+000,3.4028586963e+000,2.5767696959e+000,3.0052340818e+000,3.2983996903e+000,4.9830289810e+000,2.9051247753e+000,3.2772021141e+000,2.5548096928e+000,2.9845711513e+000,
6.5625000000e-001,2.9696345636e+000,3.0506416579e+000,2.5417811689e+000,2.7150205294e+000,3.2947249227e+000,3.3912245555e+000,2.6012761008e+000,2.9034268743e+000,3.2409586075e+000,4.9933264418e+000,2.8744921923e+000,3.2127390568e+000,2.6974334094e+000,2.9781657722e+000,
7.5000000000e-001,2.9454027220e+000,3.0011262113e+000,2.6549036807e+000,2.5693395633e+000,3.2993298927e+000,3.3149284308e+000,2.5790601977e+000,2.8247649960e+000,3.2608539116e+000,4.9094910362e+000,2.8968393995e+000,3.2371750126e+000,2.7791956314e+000,3.0946129975e+000,
8.4375000000e-001,2.8510190156e+000,2.9555804599e+000,2.6827742932e+000,2.5616872761e+000,3.1575378795e+000,3.1990818326e+000,2.5015081603e+000,2.7586964829e+000,3.2308357324e+000,4.8688499424e+000,2.8216802268e+000,3.1159420792e+000,2.8088130030e+000,3.0892526378e+000,
9.3750000000e-001,2.8496942676e+000,3.0384476094e+000,2.6844657027e+000,2.6458454055e+000,3.2105240621e+000,3.3125137871e+000,2.5483408937e+000,2.8512681258e+000,3.2509982191e+000,4.9025073602e+000,2.8514863528e+000,3.1861266552e+000,2.9095625121e+000,3.0784252200e+000,
1.0312500000e+000,2.8479846517e+000,3.1607496120e+000,2.7243344693e+000,2.7563209266e+000,3.2283914924e+000,3.4694883330e+000,2.6423830393e+000,2.8728412740e+000,3.2637956882e+000,5.0364851108e+000,2.8237465085e+000,3.0950270444e+000,2.9508708107e+000,3.0483059907e+000,
1.1250000000e+000,2.7700053987e+000,3.1367635366e+000,2.7854811666e+000,2.7382311912e+000,3.2132903650e+000,3.4313020902e+000,2.6113718757e+000,2.8504610108e+000,3.3055176845e+000,4.9835367389e+000,2.7971966089e+000,2.9289267840e+000,2.9435402132e+000,2.9144730037e+000,
1.2187500000e+000,2.7659213581e+000,3.1836939646e+000,2.7437780073e+000,2.7498765878e+000,3.2340974732e+000,3.5061407913e+000,2.4226361971e+000,2.7581211349e+000,3.3554486775e+000,5.0374943342e+000,2.8736162575e+000,2.9358060597e+000,2.8348245978e+000,2.9357169789e+000,
1.3125000000e+000,2.8603158413e+000,3.2926543213e+000,2.7127901565e+000,2.8777496888e+000,3.2340278817e+000,3.5816399504e+000,2.5460039246e+000,2.8261055122e+000,3.3205742794e+000,5.0435025800e+000,2.8863885121e+000,3.0822821309e+000,2.7530389380e+000,2.9269462367e+000,
