Time (s),AF3,AF4,F3,F4,F7,F8,FC5,FC6,T7,T8,P7,P8,O1,O2,Sampling Rate
0.0000000000e+000,3.5993930870e+000,3.5801578559e+000,3.1136693949e+000,3.8884512005e+000,3.6869288576e+000,3.5474226931e+000,3.2061390263e+000,3.3893720600e+000,3.0463985411e+000,5.2336885533e+000,2.4366855638e+000,3.7325566589e+000,3.1745798015e+000,4.3515294830e+000,1
9.3750000000e-002,3.4422451988e+000,3.4235366190e+000,3.2296205258e+000,3.8553404675e+000,3.6869779201e+000,3.4865465018e+000,3.2517442598e+000,3.3564138080e+000,3.0943313437e+000,5.1677794506e+000,2.4596291478e+000,3.5775244717e+000,3.1192657276e+000,4.0693990315e+000,
1.8750000000e-001,3.3906395735e+000,3.4825558784e+000,3.2909255246e+000,3.9051218678e+000,3.6446665595e+000,3.4401512481e+000,3.3301603408e+000,3.3941470783e+000,3.1430032751e+000,5.1751673455e+000,2.4418265071e+000,3.5506647989e+000,3.1254012001e+000,4.1278339328e+000,
2.8125000000e-001,3.4596625699e+000,3.5426877963e+000,3.2332618985e+000,3.9138082533e+000,3.7264032309e+000,3.5335249153e+000,3.3599186080e+000,3.4358151798e+000,3.1030617416e+000,5.1876581481e+000,2.4524521768e+000,3.6298276503e+000,3.0099070912e+000,4.1441588060e+000,
3.7500000000e-001,3.3215239577e+000,3.3498970945e+000,3.1354436902e+000,3.7329204731e+000,3.6335706962e+000,3.4736850626e+000,3.2307647148e+000,3.3373106607e+000,3.0379262640e+000,5.1863965106e+000,2.3320123029e+000,3.6145174688e+000,3.0333882848e+000,4.2091046132e+000,
4.6875000000e-001,3.2385157477e+000,3.1774241536e+000,3.1141884965e+000,3.6138963087e+000,3.5559532855e+000,3.3573696860e+000,3.1438573116e+000,3.2535338587e+000,2.8856709662e+000,6.5428257342e+000,2.3568195109e+000,3.5968119586e+000,3.1309669040e+000,4.1496779456e+000,
5.6250000000e-001,3.2523627326e+000,3.1552319033e+000,3.1245791905e+000,3.6042579053e+000,3.4805650421e+000,3.3701493194e+000,3.1373549869e+000,3.2422631034e+000,2.8988689846e+000,6.6298115382e+000,2.3815890035e+000,3.5930462916e+000,3.1417400103e+000,4.1376434792e+000,
6.5625000000e-001,3.1460750317e+000,3.0512043974e+000,3.0424047861e+000,3.5400055541e+000,3.4463987885e+000,3.3655128105e+000,3.1148350097e+000,3.1655268511e+000,2.8788661302e+000,6.6266680171e+000,2.2263546740e+000,3.5067749023e+000,3.1303881007e+000,4.0645334222e+000,
7.5000000000e-001,3.2720023314e+000,3.1988280833e+000,3.1463500174e+000,3.6194774114e+000,3.4693979012e+000,3.4265226637e+000,3.1597675479e+000,3.1938952470e+000,2.9595537190e+000,6.5387675981e+000,2.1049354005e+000,3.5499983415e+000,3.0922419374e+000,4.1973736144e+000,
8.4375000000e-001,3.2057431688e+000,3.2574798643e+000,3.1901031351e+000,3.6884798695e+000,3.4202301038e+000,3.5244139064e+000,3.1373556123e+000,3.2380887156e+000,2.9425943950e+000,6.8471032007e+000,2.2592408022e+000,3.6524714255e+000,3.0966643801e+000,4.2349969916e+000,
9.3750000000e-001,3.3292842346e+000,3.3487556248e+000,3.1868266383e+000,3.6838547300e+000,3.4723186980e+000,3.5669017131e+000,3.0497090303e+000,3.2605868433e+000,2.9856126295e+000,6.8652839265e+000,2.6323134804e+000,3.6860831989e+000,3.1626332409e+000,4.2858697298e+000,
1.0312500000e+000,3.3392117488e+000,3.3639089793e+000,3.0364832453e+000,3.6007241548e+000,3.4931317572e+000,3.5648739778e+000,2.9257017307e+000,3.2363636582e+000,2.9284359556e+000,6.9250506944e+000,2.6425993079e+000,3.8175492721e+000,3.2132691927e+000,4.2772962339e+000,
1.1250000000e+000,3.2654323291e+000,3.2885923383e+000,2.8056387965e+000,3.3394230357e+000,3.4923577088e+000,3.4956140172e+000,2.7155343658e+000,3.0069420937e+000,2.7607514346e+000,7.0235902466e+000,2.8087911728e+000,3.7877253418e+000,3.2990055729e+000,4.2347386551e+000,
1.2187500000e+000,3.2654336967e+000,3.2392276747e+000,2.8265016661e+000,3.2641004579e+000,3.4975822166e+000,3.4498336854e+000,2.6172333275e+000,2.9563461114e+000,2.7193029707e+000,7.0332851536e+000,2.9328656720e+000,3.7514646525e+000,3.2861771359e+000,4.2575684157e+000,
1.3125000000e+000,3.1296410233e+000,3.2762306317e+000,2.7946067036e+000,3.1949627516e+000,3.3547484393e+000,3.3547893228e+000,2.5788655709e+000,2.9022704944e+000,2.6346406079e+000,7.0279377566e+000,2.9296674798e+000,3.6952417030e+000,3.2625331040e+000,4.2571334616e+000,
1.4062500000e+000,3.2193375167e+000,3.3298939264e+000,2.8878333360e+000,3.2950058393e+000,3.6030609480e+000,3.4483429171e+000,2.7120549602e+000,2.9533363916e+000,2.7113495656e+000,6.9701925952e+000,2.8904309960e+000,3.7582566063e+000,3.1615951532e+000,4.2488766656e+000,
1.5000000000e+000,3.2134459492e+000,3.3269396806e+000,2.8612079787e+000,3.3229895209e+000,3.6017645164e+000,3.4425433933e+000,2.7025400951e+000,2.9374371153e+000,2.7214423370e+000,6.3568273720e+000,2.8966445630e+000,3.7686705833e+000,3.0843860288e+000,4.2377355352e+000,
1.5937500000e+000,3.2585740788e+000,3.4425046108e+000,2.9081105318e+000,3.4363971133e+000,3.6815978238e+000,3.4911508536e+000,2.7816515802e+000,3.0505981528e+000,2.7100780031e+000,6.3205408444e+000,2.9862146384e+000,3.8455168208e+000,3.1399390455e+000,4.2613507747e+000,
1.6875000000e+000,3.2234396862e+000,3.3782411887e+000,2.8499624276e+000,3.3611155923e+000,3.7710952641e+000,3.5072246366e+000,2.8322322132e+000,3.0834703055e+000,2.6330213849e+000,6.3271235982e+000,2.9684941325e+000,3.7584807674e+000,3.1599662559e+000,4.2327069952e+000,
1.7812500000e+000,3.3482142374e+000,3.4670752539e+000,2.9603796615e+000,3.4820772393e+000,3.8632996185e+000,3.5162119532e+000,2.9201185619e+000,3.1740355744e+000,2.6798160106e+000,6.0758281451e+000,2.9668604132e+000,3.7473473714e+000,3.1376555908e+000,4.1941751037e+000,
1.8750000000e+000,3.4022235923e+000,3.5032270633e+000,2.8820081499e+000,3.4326294386e+000,3.9012974309e+000,3.6151109012e+000,2.9507077598e+000,3.3030423262e+000,2.7054476414e+000,5.6450479754e+000,2.9038909599e+000,3.6911588520e+000,3.1416608308e+000,4.1298826898e+000,
1.9687500000e+000,3.2729353024e+000,3.3883371525e+000,2.8135792630e+000,3.3806415208e+000,3.8352215667e+000,3.5404675032e+000,2.9815353461e+000,3.2782862661e+000,2.6659229795e+000,5.5832970799e+000,2.6937365178e+000,3.7369936545e+000,3.1604891525e+000,4.2497114307e+000,
2.0625000000e+000,3.5741405931e+000,3.5982957509e+000,3.1310589919e+000,3.6866825704e+000,3.9532967122e+000,3.5845043610e+000,3.1425810145e+000,3.3059899455e+000,2.6596402977e+000,4.8423871427e+000,2.6934063169e+000,3.5979334696e+000,3.1674659332e+000,4.2796262058e+000,
