Time (s),AF3,AF4,F3,F4,F7,F8,FC5,FC6,T7,T8,P7,P8,O1,O2,Sampling Rate
0.0000000000e+000,3.5601288803e+000,3.9466033835e+000,3.4153872240e+000,3.8992916157e+000,3.3666324473e+000,3.8151361403e+000,3.0295870894e+000,3.8971466352e+000,2.4318424222e+000,4.0095221768e+000,2.6890253191e+000,4.0083551118e+000,3.5013752599e+000,3.8982947153e+000,1
9.3750000000e-002,3.3695814469e+000,3.6636650606e+000,3.1611685328e+000,3.5529387208e+000,3.1798172855e+000,3.4531209546e+000,2.9149168486e+000,3.5282174118e+000,2.2949236273e+000,3.7397629519e+000,2.1204421355e+000,3.8365922030e+000,3.2722441786e+000,3.7707159852e+000,
1.8750000000e-001,3.3464289229e+000,3.5302401023e+000,3.0751121351e+000,3.3208878401e+000,3.1312696822e+000,3.3834572045e+000,2.8843070789e+000,3.4195621288e+000,2.1890307740e+000,3.6235709915e+000,1.9878582917e+000,3.7672975655e+000,3.2215314353e+000,3.6970670427e+000,
2.8125000000e-001,3.2897718718e+000,3.4555295088e+000,3.0304181971e+000,3.3299474507e+000,3.0054511665e+000,3.3537161559e+000,2.8522193336e+000,3.3759715720e+000,2.2959215206e+000,3.6384558236e+000,1.9650722302e+000,3.7849985824e+000,3.0775232706e+000,3.7375845428e+000,
3.7500000000e-001,3.3012142495e+000,3.3151965152e+000,3.0153165292e+000,3.4824334296e+000,3.0001381313e+000,3.3743642275e+000,2.8833519345e+000,3.3970205235e+000,2.3688442773e+000,3.6682473586e+000,2.0194142110e+000,3.8175552392e+000,3.1178921821e+000,3.7687897097e+000,
4.6875000000e-001,3.3015218602e+000,3.1635225947e+000,3.0016980030e+000,3.3830221102e+000,3.0848144670e+000,3.2558890499e+000,2.8835035435e+000,3.3088764006e+000,2.4972425527e+000,3.6323251086e+000,1.9975292073e+000,3.7384527594e+000,3.0041358438e+000,3.7597301501e+000,
5.6250000000e-001,3.2855526780e+000,3.3351270208e+000,3.0003071096e+000,3.4413356932e+000,3.0982224340e+000,3.3477761118e+000,2.7777385972e+000,3.3677872245e+000,2.3994302769e+000,3.5224253894e+000,2.0540760436e+000,3.6291063585e+000,2.9621019190e+000,3.7267743013e+000,
6.5625000000e-001,3.1245302282e+000,3.2860037037e+000,2.6645881926e+000,3.4137369927e+000,2.9725118694e+000,3.2229157196e+000,2.7309720346e+000,3.2795831738e+000,2.3200524904e+000,3.4897146251e+000,2.0723409730e+000,3.5816720773e+000,2.9949863603e+000,3.6809317077e+000,
7.5000000000e-001,2.9525799037e+000,3.3580833995e+000,2.4576110451e+000,3.4487819840e+000,2.8537652000e+000,3.3157498134e+000,2.4329141991e+000,3.2937475201e+000,2.2773977648e+000,3.4966000853e+000,2.1408293887e+000,3.5400814449e+000,2.8631829642e+000,3.5848529664e+000,
8.4375000000e-001,2.8440220035e+000,3.4630057996e+000,2.4022121165e+000,3.4227728327e+000,2.8529513075e+000,3.4439411093e+000,2.4691529854e+000,3.3582609857e+000,2.3221764445e+000,3.4615584683e+000,2.1138494443e+000,3.4337668117e+000,2.8647117936e+000,3.5403153370e+000,
9.3750000000e-001,2.7353653696e+000,3.5246678073e+000,2.3879563455e+000,3.4786226456e+000,2.6751305849e+000,3.6038314648e+000,2.4811187059e+000,3.4804607653e+000,2.5288608499e+000,3.5432131078e+000,2.1233487638e+000,3.4271452535e+000,2.7559750852e+000,3.4859380209e+000,
