Time (s),AF3,AF4,F3,F4,F7,F8,FC5,FC6,T7,T8,P7,P8,O1,O2,Sampling Rate
0.0000000000e+000,3.3523675029e+000,3.7576239956e+000,2.9025834022e+000,3.5911020440e+000,5.0800827106e+000,5.0226776673e+000,3.0483830374e+000,4.6848944110e+000,5.6012590812e+000,5.4964994507e+000,2.7546208658e+000,3.0819912605e+000,2.7248066987e+000,2.7248284472e+000,1
9.3750000000e-002,3.3249311595e+000,3.7252675414e+000,2.9005642783e+000,3.5861663390e+000,5.0029417283e+000,4.9237434819e+000,2.9228299404e+000,4.6846768726e+000,5.6692297612e+000,5.4358428698e+000,2.7139224551e+000,3.0353238993e+000,2.4876154356e+000,2.6912540545e+000,
1.8750000000e-001,3.1569652085e+000,3.5787033766e+000,2.9000632813e+000,3.4590156429e+000,4.9977482349e+000,4.8744194318e+000,2.8979690542e+000,4.6459868187e+000,5.8323100971e+000,5.3963518659e+000,2.7619611549e+000,2.8396997565e+000,2.5261265914e+000,2.6288869002e+000,
2.8125000000e-001,3.1693413970e+000,3.5750998992e+000,2.9340143792e+000,3.3979918434e+000,5.0005665367e+000,4.8146838688e+000,3.1055458671e+000,4.5939131076e+000,5.8197762820e+000,5.3245639521e+000,2.7569955342e+000,2.8810924167e+000,2.4897026071e+000,2.6559186674e+000,
3.7500000000e-001,3.1735335397e+000,3.5393167689e+000,2.9739776074e+000,3.3901694775e+000,5.0351734964e+000,4.8435824698e+000,3.1822066553e+000,4.5651805785e+000,6.0214422405e+000,5.4073671864e+000,2.7345265682e+000,2.9392689500e+000,2.6210752513e+000,2.5978303709e+000,
4.6875000000e-001,3.1878408017e+000,3.5147713793e+000,3.0203325642e+000,3.3888125567e+000,5.0517871050e+000,4.8401233041e+000,3.1904583693e+000,4.5791491258e+000,5.9987006212e+000,5.4937199016e+000,2.6681625625e+000,2.8956837736e+000,2.6757290733e+000,2.5720482863e+000,
5.6250000000e-001,3.3476909257e+000,3.7180328932e+000,3.2252844460e+000,3.4724615849e+000,5.1591515709e+000,4.9181745211e+000,3.2168092445e+000,4.6277040273e+000,6.0336925421e+000,5.4993875930e+000,2.6542732487e+000,2.8713608899e+000,2.5057769017e+000,2.5894620803e+000,
6.5625000000e-001,3.3370835645e+000,3.6758539685e+000,3.2422444765e+000,3.4687324076e+000,5.1857672967e+000,4.7759507464e+000,3.1551266102e+000,4.6043867746e+000,6.0497870966e+000,5.5106257000e+000,2.5933672279e+000,3.0219177734e+000,2.4311688426e+000,2.5934200121e+000,
7.5000000000e-001,3.3759119003e+000,3.8036950147e+000,3.2553080095e+000,3.5418066085e+000,5.1479045110e+000,4.7619133363e+000,3.1677734244e+000,4.6366552315e+000,6.0906310704e+000,5.5598026224e+000,2.4594986216e+000,3.0165407267e+000,2.3440566409e+000,2.4732401536e+000,
8.4375000000e-001,3.5433834198e+000,3.8981982901e+000,3.4165809854e+000,3.5605132596e+000,5.3749386463e+000,4.7066308536e+000,3.2202344877e+000,4.5383543404e+000,6.1193707695e+000,5.4789632120e+000,2.4941701813e+000,3.0525226052e+000,2.4171019509e+000,2.3799459245e+000,
