Time (s),AF3,AF4,F3,F4,F7,F8,FC5,FC6,T7,T8,P7,P8,O1,O2,Sampling Rate
0.0000000000e+000,2.8993333339e+000,3.9567796754e+000,2.6602596318e+000,2.7753705591e+000,3.1944535969e+000,4.2306133689e+000,3.1025664006e+000,3.6350279848e+000,3.6167259747e+000,4.0462978693e+000,4.1270200583e+000,3.4293341984e+000,1.1091784132e+001,3.5943477970e+000,1
9.3750000000e-002,2.8589266934e+000,3.4453215023e+000,2.6180925222e+000,2.8618352481e+000,3.1956235096e+000,4.1936128779e+000,3.0486231727e+000,3.6454263568e+000,3.5884137221e+000,3.9947324017e+000,4.1364515549e+000,3.5120261837e+000,1.0949436700e+001,3.6212049245e+000,
1.8750000000e-001,2.8632394227e+000,3.4524314972e+000,2.5513361155e+000,2.9316834761e+000,3.1833422510e+000,4.1466826306e+000,3.1058753634e+000,3.5884713427e+000,3.8360204987e+000,3.8900554775e+000,4.1307038919e+000,3.5328571836e+000,1.0795804470e+001,3.6324705782e+000,
2.8125000000e-001,2.9698929692e+000,3.4752516332e+000,2.5175527582e+000,2.9065605331e+000,3.1648616049e+000,4.0444962966e+000,3.0543165127e+000,3.6066273174e+000,3.8589305149e+000,3.8268544752e+000,3.8333094282e+000,3.4161923195e+000,1.0594000412e+001,3.6016589065e+000,
3.7500000000e-001,2.9649079028e+000,3.5860570058e+000,2.4558251675e+000,2.8531358215e+000,3.1064112631e+000,3.8912559181e+000,2.9010680541e+000,3.6199351146e+000,3.9905749839e+000,3.5803806095e+000,3.6297619125e+000,3.3035995306e+000,9.5262602248e+000,3.4662777013e+000,
4.6875000000e-001,2.9273246665e+000,3.6533203544e+000,2.5407883472e+000,2.8581352702e+000,2.9948910475e+000,3.8573919008e+000,2.9140470916e+000,3.5761087093e+000,4.0025895535e+000,3.5636567603e+000,3.5935545831e+000,3.2808213610e+000,9.3992814703e+000,3.4901691455e+000,
5.6250000000e-001,2.9368604520e+000,3.6437772050e+000,2.6248789140e+000,2.9810799664e+000,3.1709525082e+000,3.8279745362e+000,3.1170968514e+000,3.5880731249e+000,4.0613832985e+000,3.5043013961e+000,3.3012289932e+000,3.2731443786e+000,9.2805267546e+000,3.5056790829e+000,
6.5625000000e-001,2.9887697676e+000,3.7025261548e+000,2.6799939807e+000,3.0496592336e+000,3.0734329740e+000,3.7983031975e+000,3.0481011224e+000,3.7345537269e+000,4.0652824939e+000,3.4804427541e+000,3.1796100360e+000,3.3505019624e+000,9.3032158409e+000,3.5175003473e+000,
7.5000000000e-001,2.9458327660e+000,3.5642054555e+000,2.7588725423e+000,2.9537612071e+000,3.1867917442e+000,3.6842667526e+000,3.1392957774e+000,3.5842626009e+000,4.0705927746e+000,3.3974258540e+000,3.2432936271e+000,3.3479905310e+000,9.3597927112e+000,3.6366983488e+000,
8.4375000000e-001,2.9633906358e+000,3.5324401603e+000,2.8310768146e+000,2.9895762986e+000,3.2376818605e+000,3.6647942938e+000,3.1494150326e+000,3.5653887507e+000,4.0871211398e+000,3.4800490455e+000,3.2682740305e+000,3.4163133130e+000,9.4812296397e+000,3.7427230967e+000,
9.3750000000e-001,2.9806876855e+000,3.4597855228e+000,2.8416634937e+000,2.9880400506e+000,3.1927542465e+000,3.5889915950e+000,3.1271870606e+000,3.6136256005e+000,4.0734103662e+000,3.4602884810e+000,3.2562734617e+000,3.4919058928e+000,9.6671397147e+000,3.7613642686e+000,
