Time (s),AF3,AF4,F3,F4,F7,F8,FC5,FC6,T7,T8,P7,P8,O1,O2,Sampling Rate
0.0000000000e+000,3.6555341251e+000,3.8756175667e+000,3.3122995399e+000,3.5862380626e+000,3.2020160599e+000,3.9466598864e+000,2.7215496204e+000,3.3530958728e+000,2.8204679408e+000,4.2431927444e+000,2.1771305811e+000,4.1686647965e+000,2.9808961917e+000,3.6690178216e+000,1
9.3750000000e-002,3.7407046135e+000,3.8113522012e+000,3.4191407919e+000,3.5836351698e+000,3.3634692456e+000,3.9107905119e+000,2.9472534095e+000,3.3111409456e+000,2.9339269974e+000,4.2246563318e+000,2.2428477199e+000,4.1454180904e+000,2.9292167135e+000,3.5885512404e+000,
1.8750000000e-001,3.6301504122e+000,3.8497239974e+000,3.3800319712e+000,3.5973670259e+000,3.3370469042e+000,3.8830492321e+000,2.9559566381e+000,3.2586864432e+000,3.0372712729e+000,4.1603287558e+000,2.4391402174e+000,4.1560502929e+000,2.8848280153e+000,3.4427118371e+000,
2.8125000000e-001,3.7425455359e+000,3.8938172974e+000,3.4964390030e+000,3.6397751096e+000,3.4193733527e+000,3.8111391820e+000,2.9925295784e+000,3.2732331345e+000,3.0751068294e+000,4.1593789430e+000,2.4917242362e+000,4.1143339888e+000,2.8592932809e+000,3.4497722410e+000,
3.7500000000e-001,3.6115375722e+000,3.7784144718e+000,3.4203956900e+000,3.5365719989e+000,3.2836178138e+000,3.6893653317e+000,2.8754306023e+000,3.2310413061e+000,3.1532714169e+000,4.1647520056e+000,2.4767727102e+000,4.0892293118e+000,2.6824102113e+000,3.4289435171e+000,
4.6875000000e-001,3.5115022582e+000,3.6642440400e+000,3.3072717074e+000,3.3478911369e+000,3.1999529820e+000,3.5867231075e+000,2.8340505777e+000,3.1421088427e+000,3.0788097722e+000,4.0575751345e+000,2.5929622552e+000,3.9226988829e+000,2.5704033863e+000,3.0761978349e+000,
5.6250000000e-001,3.5319964021e+000,3.6572102310e+000,3.2975049650e+000,3.3560058614e+000,3.2926004309e+000,3.6173923136e+000,3.0143775474e+000,3.1969233353e+000,3.1640419921e+000,4.1638014832e+000,2.5995868447e+000,3.9499769759e+000,2.6687823434e+000,3.1387442140e+000,
6.5625000000e-001,3.6653093352e+000,3.7820360374e+000,3.4100842966e+000,3.4774677623e+000,3.5684374620e+000,3.7042823826e+000,3.0955853834e+000,3.3579184765e+000,3.2012451135e+000,4.2270946557e+000,2.6060083397e+000,3.9806841988e+000,2.7649647315e+000,3.0604533363e+000,
7.5000000000e-001,3.6640087738e+000,3.7743388047e+000,3.4755711249e+000,3.4287949456e+000,3.9166596652e+000,3.6674914285e+000,3.1839661781e+000,3.4542842155e+000,3.1682734506e+000,4.2223609408e+000,2.6098142406e+000,3.9779886174e+000,2.7405046672e+000,3.1087964566e+000,
8.4375000000e-001,3.6901024773e+000,3.8398731223e+000,3.5245987838e+000,3.5172808014e+000,4.4934173763e+000,4.4085548175e+000,3.3254432243e+000,3.7006734289e+000,3.1731730618e+000,4.1877996663e+000,2.6431339216e+000,4.0717790151e+000,2.7065582983e+000,3.1958916828e+000,
9.3750000000e-001,3.7918040505e+000,3.9401229991e+000,3.5892341735e+000,3.6242801785e+000,4.6827757391e+000,4.6153071899e+000,3.6099935387e+000,3.8470407312e+000,3.1984478052e+000,4.2331701721e+000,2.6435071076e+000,3.9879491882e+000,2.7292655895e+000,3.3033989289e+000,
1.0312500000e+000,3.7721802527e+000,3.9052982768e+000,3.5912490296e+000,3.6557507396e+000,4.7613699557e+000,4.6437976885e+000,3.6461453144e+000,4.0107600410e+000,3.1985121665e+000,4.1240130342e+000,2.6037153679e+000,4.0317684795e+000,2.7888681333e+000,3.5026918415e+000,
1.1250000000e+000,3.7261334559e+000,3.8999075564e+000,3.4968884579e+000,3.5787264789e+000,4.7844904673e+000,4.6542698704e+000,3.6146641180e+000,4.0913775193e+000,3.2448052817e+000,4.1987454881e+000,2.6358264648e+000,4.0385695399e+000,2.9091824840e+000,3.6723470731e+000,
1.2187500000e+000,3.6800685758e+000,3.9123371985e+000,3.4263870640e+000,3.5691389964e+000,4.8153759438e+000,4.7305740663e+000,3.6931356488e+000,4.1231245096e+000,3.3327816400e+000,4.1689569392e+000,2.4814628716e+000,4.0456011404e+000,2.9294964441e+000,3.6769106851e+000,
1.3125000000e+000,3.6903772343e+000,3.8911743820e+000,3.3650421174e+000,3.5735928389e+000,4.8254679224e+000,4.8096535598e+000,3.6738755731e+000,4.1556970249e+000,3.3334711290e+000,4.1378700178e+000,2.5568408781e+000,4.1056159436e+000,3.0477912102e+000,3.7741923145e+000,
1.4062500000e+000,3.7506357053e+000,3.8926947542e+000,3.3863556416e+000,3.5404817589e+000,4.9502621419e+000,4.8602934389e+000,3.8140172331e+000,4.2197573896e+000,3.2196823544e+000,4.1666582073e+000,2.4749441816e+000,4.0310783259e+000,3.0126094543e+000,3.7478090961e+000,
1.5000000000e+000,3.8300185369e+000,4.0133613149e+000,3.4563963771e+000,3.6373034921e+000,4.9877110137e+000,4.9430655044e+000,3.8967960074e+000,4.2628554284e+000,3.2343188179e+000,4.1287078346e+000,2.5511864975e+000,4.0468050540e+000,3.0220726509e+000,3.8024932005e+000,
1.5937500000e+000,3.8206794236e+000,4.0533557406e+000,3.4638754854e+000,3.6699928447e+000,5.0006866479e+000,4.9592193379e+000,3.8780152934e+000,4.2196447742e+000,3.2805644000e+000,4.2159718143e+000,2.5641273403e+000,4.3360818934e+000,3.0150152303e+000,3.9384749161e+000,
1.6875000000e+000,3.8171755141e+000,4.0053789587e+000,3.4440731422e+000,3.6709674946e+000,4.9559654212e+000,4.9985196617e+000,3.9012903560e+000,4.2414371185e+000,3.3145649648e+000,4.3191427466e+000,2.5437716243e+000,4.3998007492e+000,2.9667397468e+000,4.0142857946e+000,
1.7812500000e+000,3.8102506542e+000,3.9580413579e+000,3.3811044952e+000,3.6489773137e+000,4.7152043864e+000,5.0439962116e+000,3.8171875831e+000,4.2114597022e+000,3.3701906324e+000,4.3518333736e+000,2.5962632670e+000,4.4149652054e+000,3.0176214593e+000,4.0042653392e+000,
1.8750000000e+000,3.7829315423e+000,3.9945899285e+000,3.3757760107e+000,3.6684686837e+000,4.4560317197e+000,4.7452835103e+000,3.6479295236e+000,4.0647864293e+000,3.4341569272e+000,4.5189198487e+000,2.5714014659e+000,4.5402925262e+000,3.1489278763e+000,4.1055483019e+000,
1.9687500000e+000,3.7932557814e+000,3.9845856848e+000,3.3537167760e+000,3.6985025218e+000,4.4059238406e+000,4.7469045140e+000,3.4879947205e+000,3.9963969174e+000,3.4825813664e+000,4.5563814175e+000,2.5619424152e+000,4.5221217961e+000,3.1863184048e+000,4.0498058091e+000,
2.0625000000e+000,3.9109733375e+000,4.1078533024e+000,3.4729687868e+000,3.7861411453e+000,4.4105736055e+000,4.8173662319e+000,3.4476645639e+000,3.9249543452e+000,3.6150714609e+000,4.5432417365e+000,2.4768658871e+000,4.5630527147e+000,3.2438113267e+000,4.0463822065e+000,
2.1562500000e+000,3.9664897163e+000,4.1064249924e+000,3.5344368050e+000,3.8614294830e+000,4.3659758645e+000,4.8106589321e+000,3.3364103164e+000,3.8685794533e+000,3.5633138699e+000,4.5511920145e+000,2.3934310656e+000,4.4852366096e+000,3.2668978960e+000,4.0434591490e+000,
2.2500000000e+000,3.9804745796e+000,4.1227246131e+000,3.5906326535e+000,3.8851887356e+000,4.3578401354e+000,4.7409257555e+000,3.2349792648e+000,3.8317955192e+000,3.4362802354e+000,4.6070263783e+000,2.2502719699e+000,4.4407000859e+000,3.1997507361e+000,3.9472189798e+000,
2.3437500000e+000,3.9768441322e+000,4.1225566676e+000,3.5626857654e+000,3.9252481565e+000,4.2522043249e+000,4.7471691751e+000,3.1693142343e+000,3.7934308330e+000,3.5224790227e+000,4.6796469522e+000,2.3584543704e+000,4.4562076012e+000,3.2282460846e+000,3.9827426301e+000,
2.4375000000e+000,3.9857621116e+000,4.0903529966e+000,3.5606906582e+000,3.9332149264e+000,4.1442860948e+000,4.7025684417e+000,3.0874868737e+000,3.7526728422e+000,3.5321870382e+000,4.6672812345e+000,2.3065860925e+000,4.4884934241e+000,3.2898035294e+000,4.0481062421e+000,
2.5312500000e+000,3.9365275081e+000,3.9773669666e+000,3.4929010357e+000,3.9116158630e+000,4.0379816586e+000,4.5913216092e+000,2.8954140485e+000,3.6791247780e+000,3.6340549753e+000,4.6940695459e+000,2.3401063997e+000,4.6191545648e+000,3.3451217590e+000,4.1255925977e+000,
2.6250000000e+000,4.0274258322e+000,4.0865024483e+000,3.6294730507e+000,3.9764382735e+000,4.0709894530e+000,4.6298573191e+000,2.9145987968e+000,3.7216736023e+000,3.5914105584e+000,4.5611006997e+000,2.5010217690e+000,4.4096580296e+000,3.3592346530e+000,3.9835116678e+000,
2.7187500000e+000,4.0696307973e+000,4.1245746722e+000,3.6587961799e+000,4.0295625977e+000,4.0486669771e+000,4.5510171835e+000,2.9577518975e+000,3.8664107947e+000,3.5668233934e+000,4.5826996063e+000,2.4395222305e+000,4.3202265399e+000,3.4453077106e+000,4.0219294291e+000,
2.8125000000e+000,4.0687336351e+000,4.0870037382e+000,3.6827824423e+000,4.0121608177e+000,4.1011699823e+000,4.3780378608e+000,3.1605011450e+000,3.8638980242e+000,3.4743244389e+000,4.6706133981e+000,2.3754449521e+000,4.2538184298e+000,3.3867131145e+000,4.0054174278e+000,
2.9062500000e+000,4.0807052878e+000,4.0564009792e+000,3.6775355202e+000,4.0174011275e+000,4.1109931438e+000,4.3388282482e+000,3.1278749465e+000,3.9019137655e+000,3.4249422465e+000,4.5130510803e+000,2.3372622050e+000,4.1511380007e+000,3.3442204831e+000,3.9771624963e+000,
3.0000000000e+000,4.1269722504e+000,4.1073510527e+000,3.7617233057e+000,3.9999315351e+000,4.0149458206e+000,4.2586825440e+000,3.1821750215e+000,3.9057947288e+000,3.3464658656e+000,4.4522939925e+000,2.3569161928e+000,4.3223225751e+000,3.3081058181e+000,4.0922476377e+000,
3.0937500000e+000,4.1183535190e+000,4.1062376743e+000,3.7649581601e+000,4.0550891542e+000,3.9304393135e+000,4.2772770507e+000,3.2258201458e+000,4.0049668696e+000,3.2383957813e+000,4.4410935024e+000,2.3815320659e+000,4.3175448862e+000,3.2295774473e+000,4.0769234077e+000,
3.1875000000e+000,4.1659706402e+000,4.1454278042e+000,3.8130282670e+000,4.0469757593e+000,3.8804640886e+000,4.2493753764e+000,3.2418314138e+000,3.9909161090e+000,3.2171510633e+000,4.5359787696e+000,2.3595222726e+000,4.3268508999e+000,3.1968611054e+000,4.0453159934e+000,
3.2812500000e+000,4.1517789978e+000,4.1535094547e+000,3.8045684035e+000,4.0552619269e+000,3.8542561416e+000,4.1976992828e+000,3.2814617790e+000,3.9755857653e+000,3.2151810372e+000,4.4452897881e+000,2.4013347748e+000,4.2945614466e+000,3.2517997656e+000,4.0791488020e+000,
3.3750000000e+000,4.1021567687e+000,4.1430316441e+000,3.7879158591e+000,4.0049815304e+000,3.7831720544e+000,4.1511670050e+000,3.2603139547e+000,3.9943129985e+000,3.2277137053e+000,4.4188683870e+000,2.3300144719e+000,4.3608706305e+000,3.2607662256e+000,4.0701359788e+000,
3.4687500000e+000,4.1503492185e+000,4.1715223433e+000,3.8463787692e+000,4.0367109798e+000,3.8841158525e+000,4.1960020509e+000,3.2330724857e+000,4.0010255476e+000,3.2465058819e+000,4.4046807049e+000,2.4060747940e+000,4.2143257708e+000,3.2351888462e+000,4.0336786862e+000,
3.5625000000e+000,4.1094576420e+000,4.1109164936e+000,3.7738105989e+000,3.9524738523e+000,3.9273949335e+000,4.1121563233e+000,3.1917662001e+000,3.9207706059e+000,3.2201873321e+000,4.4774762874e+000,2.5044241684e+000,4.1444913684e+000,3.2375090131e+000,4.0190462377e+000,
3.6562500000e+000,3.9947601145e+000,3.9413725895e+000,3.7015504936e+000,3.8151841490e+000,3.9343153203e+000,3.9778153678e+000,3.1855103007e+000,3.7818913794e+000,3.2261456115e+000,4.4865319254e+000,2.4465916044e+000,4.1337052301e+000,3.2530119848e+000,3.9999435008e+000,
3.7500000000e+000,4.1088717188e+000,4.1029504684e+000,3.8029990059e+000,3.9105675837e+000,3.9344830621e+000,4.0968972761e+000,3.1123768201e+000,3.9502884924e+000,3.2385816932e+000,4.5330333535e+000,2.5896982009e+000,4.3068951803e+000,3.2714932980e+000,4.0938881971e+000,
3.8437500000e+000,4.1243924706e+000,4.1166663234e+000,3.8097928003e+000,3.9491776352e+000,3.9756306628e+000,4.1617593896e+000,3.0987817636e+000,4.0064587497e+000,3.2636947387e+000,4.6762734791e+000,2.6054950728e+000,4.3752393663e+000,3.3065407289e+000,4.1135136322e+000,
3.9375000000e+000,4.1072600458e+000,4.1451783675e+000,3.8488019274e+000,3.9153535739e+000,4.0146964888e+000,4.1407840405e+000,3.1579391141e+000,4.0141461253e+000,3.2097118762e+000,4.7597458887e+000,2.6573260316e+000,4.3757841083e+000,3.3417584910e+000,4.1064477109e+000,
4.0312500000e+000,3.9372106893e+000,3.8803722985e+000,3.6634813597e+000,3.6555494843e+000,3.9060079016e+000,3.9280676143e+000,3.0008965888e+000,3.7926769046e+000,3.2039650406e+000,4.7205960864e+000,2.7728565207e+000,4.1516727754e+000,3.3173496906e+000,3.9642381434e+000,
4.1250000000e+000,4.0552654031e+000,3.9428875114e+000,3.7811456365e+000,3.7456176044e+000,4.0132773002e+000,3.9544683522e+000,3.1055301849e+000,3.8165531596e+000,3.1474487584e+000,4.7166994261e+000,2.7388816450e+000,4.1632842562e+000,3.3091337554e+000,3.9982934286e+000,
4.2187500000e+000,4.0894738757e+000,4.0200357385e+000,3.8328661995e+000,3.7927843642e+000,4.0368713076e+000,4.0706706375e+000,3.1101274131e+000,3.8274462134e+000,3.1733292823e+000,4.7042867106e+000,2.7317820454e+000,4.2048281782e+000,3.3973072472e+000,4.0497185529e+000,
4.3125000000e+000,4.0830926058e+000,3.9952486398e+000,3.8172319483e+000,3.7625590977e+000,4.0618938472e+000,4.0430189120e+000,3.0579324458e+000,3.8245197626e+000,3.1143866979e+000,4.7878195228e+000,2.8501529219e+000,4.3654256113e+000,3.3730922471e+000,4.0670631896e+000,
4.4062500000e+000,4.1314657406e+000,4.0872913837e+000,3.8707491606e+000,3.8429868829e+000,4.1146233985e+000,3.9688188299e+000,3.1391717359e+000,3.8151358161e+000,3.0579487389e+000,4.8428234429e+000,2.8728808657e+000,4.4638647736e+000,3.4418908077e+000,4.1654283096e+000,
4.5000000000e+000,4.1424770204e+000,4.0891287850e+000,3.8850973631e+000,3.8636627204e+000,4.0921776529e+000,3.9692330869e+000,3.1003856593e+000,3.8742728894e+000,2.8232202130e+000,4.7777271879e+000,2.9204415311e+000,4.5273305217e+000,3.5358892071e+000,4.1675379744e+000,
4.5937500000e+000,4.1400501722e+000,4.1130819298e+000,3.8942189065e+000,3.9005924461e+000,4.0169890363e+000,4.0298100721e+000,3.0961165113e+000,3.9066463898e+000,2.7392201570e+000,4.7492534089e+000,2.9229992720e+000,4.5551956989e+000,3.4590863281e+000,4.1616899258e+000,
4.6875000000e+000,4.1211331402e+000,4.1116452202e+000,3.9029107644e+000,3.9006842546e+000,3.9844440720e+000,4.0869938656e+000,3.1437366339e+000,3.8953076174e+000,2.6353665642e+000,4.7467704667e+000,2.9222547559e+000,4.5392397338e+000,3.4492869504e+000,4.1322839988e+000,
4.7812500000e+000,3.9928723591e+000,4.0162206312e+000,3.7892129893e+000,3.7894402345e+000,3.9710113529e+000,3.8547024823e+000,3.0128927289e+000,3.7476991978e+000,2.6095713917e+000,4.5334833456e+000,2.8888935666e+000,4.4039159537e+000,3.4081431138e+000,4.0259693826e+000,
4.8750000000e+000,3.9666155557e+000,3.9992405544e+000,3.7504915099e+000,3.8145094777e+000,3.8884701812e+000,3.8506596172e+000,3.0634974869e+000,3.7375958528e+000,2.7008152600e+000,4.4122631913e+000,2.9867016440e+000,4.4360046610e+000,3.3381476663e+000,4.0621814305e+000,
4.9687500000e+000,4.0390257317e+000,3.9868539473e+000,3.7687998478e+000,3.7727997613e+000,3.9477187364e+000,3.8242219657e+000,3.0224302522e+000,3.6562505602e+000,2.7468674395e+000,4.4007095353e+000,3.0030327319e+000,4.5071828714e+000,3.4084190263e+000,4.1261302686e+000,
5.0625000000e+000,3.9569949239e+000,4.0082853537e+000,3.7323801731e+000,3.7921575952e+000,3.9242791904e+000,3.8782410137e+000,2.9432680450e+000,3.7901776979e+000,2.8106478995e+000,4.4762543835e+000,3.0632442878e+000,4.5900521050e+000,3.5224427772e+000,4.2321193111e+000,
5.1562500000e+000,3.9492722821e+000,4.1626706218e+000,3.7010260034e+000,3.8368503032e+000,3.9082215482e+000,3.9574910593e+000,2.9434518102e+000,3.8165140083e+000,2.9036689610e+000,4.5604920012e+000,3.0796230593e+000,4.6949599431e+000,3.5648685401e+000,4.2936318219e+000,
5.2500000000e+000,3.8699889375e+000,4.1116475295e+000,3.5723364764e+000,3.8249700752e+000,3.8925751989e+000,4.0130178259e+000,2.9464465624e+000,3.8358036897e+000,2.9096915418e+000,4.6962791913e+000,3.0959728786e+000,4.6205961751e+000,3.4961944918e+000,4.2158945236e+000,
5.3437500000e+000,4.0323268401e+000,4.2370515703e+000,3.6581248635e+000,3.9021737972e+000,4.0213538775e+000,4.1723942931e+000,3.0033777489e+000,3.8327876508e+000,2.9269456329e+000,4.6702142428e+000,3.0155438737e+000,4.5328912617e+000,3.4579533578e+000,4.1735634706e+000,
5.4375000000e+000,3.9235693030e+000,4.1821563132e+000,3.6134311043e+000,3.8080904377e+000,4.0191059812e+000,4.1609549998e+000,2.9164184652e+000,3.6793430586e+000,2.9622875375e+000,4.6139829335e+000,3.0633041336e+000,4.3672709656e+000,3.3737187071e+000,4.0779647004e+000,
5.5312500000e+000,3.8860078527e+000,4.1452538529e+000,3.5249363241e+000,3.7540894477e+000,3.9757845436e+000,4.1062955097e+000,2.9373025476e+000,3.6497743781e+000,3.1452546161e+000,4.5999803941e+000,2.9680777066e+000,4.3201604358e+000,3.3393411570e+000,4.0578425310e+000,
5.6250000000e+000,3.9022024939e+000,4.1709125248e+000,3.5642699127e+000,3.8075980749e+000,3.9646035813e+000,4.1332060609e+000,2.9267962035e+000,3.6855155503e+000,3.1711766355e+000,4.6413987450e+000,2.9704482359e+000,4.2548677630e+000,3.3173041111e+000,4.0744624517e+000,
5.7187500000e+000,3.8664866133e+000,4.1068314321e+000,3.5069060307e+000,3.7735115763e+000,3.9768383302e+000,4.0618670539e+000,2.8351892484e+000,3.5618432643e+000,3.1873892319e+000,4.6206100216e+000,2.8728793658e+000,4.2634505262e+000,3.3582990804e+000,4.0861994572e+000,
5.8125000000e+000,3.8039005595e+000,4.0849679497e+000,3.4720644512e+000,3.7387059222e+000,3.9025293468e+000,4.0622173389e+000,2.7359091756e+000,3.5921792153e+000,3.1938441826e+000,4.6441563504e+000,2.8436404711e+000,4.2505485504e+000,3.4073617854e+000,4.0503509888e+000,
5.9062500000e+000,3.8256202493e+000,4.1108322373e+000,3.4481055946e+000,3.7881782846e+000,3.8897226839e+000,4.2325616762e+000,2.7770410729e+000,3.7423444609e+000,3.1895736006e+000,4.6539972593e+000,2.6978421819e+000,4.1993715795e+000,3.5825748198e+000,4.0683117318e+000,
6.0000000000e+000,3.8137113807e+000,4.1101189794e+000,3.3878816062e+000,3.7715091010e+000,3.9042057737e+000,4.1966339184e+000,2.8181756159e+000,3.6651729402e+000,3.1274399678e+000,4.6456055461e+000,2.5896737699e+000,3.9957801592e+000,3.5122830017e+000,3.8537353879e+000,
6.0937500000e+000,3.9037887889e+000,4.1363462641e+000,3.4199149567e+000,3.8050178465e+000,3.9654470550e+000,4.2081577609e+000,2.9512894747e+000,3.6506229086e+000,3.0928203984e+000,4.6452365721e+000,2.5919710775e+000,3.9426998824e+000,3.5218801922e+000,3.7778848976e+000,
6.1875000000e+000,3.9230768709e+000,4.0028442967e+000,3.4696003830e+000,3.7321241440e+000,3.9673611498e+000,4.2318614144e+000,2.9645086962e+000,3.6138768607e+000,3.1151015098e+000,4.5034363635e+000,2.5961794041e+000,3.9200559152e+000,3.6818583656e+000,3.8650306310e+000,
6.2812500000e+000,3.8472533946e+000,3.9817799697e+000,3.4676180669e+000,3.7272599320e+000,3.7904587302e+000,4.1473594857e+000,2.9801481005e+000,3.6763773240e+000,3.0699550561e+000,4.3846601170e+000,2.6268042564e+000,3.8711720451e+000,3.7347324307e+000,3.9069163867e+000,
6.3750000000e+000,3.8264693243e+000,3.9515088703e+000,3.4434670421e+000,3.7167788164e+000,3.7330933179e+000,4.1755978130e+000,2.9069407182e+000,3.7063185565e+000,3.0668082710e+000,4.4200921054e+000,2.6373217451e+000,3.9542491341e+000,3.6885765139e+000,3.9580339856e+000,
6.4687500000e+000,3.9158792376e+000,3.9534912916e+000,3.4876276837e+000,3.6910533006e+000,3.7697283244e+000,4.1800555320e+000,3.0355246398e+000,3.7446853091e+000,3.1224194449e+000,4.4430296311e+000,2.5981530183e+000,4.0485804134e+000,3.6672069722e+000,4.0224123645e+000,
6.5625000000e+000,3.9418175693e+000,3.9618714170e+000,3.5339102193e+000,3.6939457235e+000,3.7857762270e+000,4.1640758440e+000,3.1273535540e+000,3.7161892414e+000,3.0879913844e+000,4.4531393693e+000,2.5751499737e+000,4.1612440050e+000,3.7159841025e+000,4.0959573037e+000,
6.6562500000e+000,4.0455916376e+000,4.0423606443e+000,3.5652774604e+000,3.7018793667e+000,3.8378055657e+000,4.1982928847e+000,3.2314874737e+000,3.7645223667e+000,3.0463667307e+000,4.4304719064e+000,2.5460779022e+000,4.1609691936e+000,3.7513522296e+000,4.0941404845e+000,
