Time (s),AF3,AF4,F3,F4,F7,F8,FC5,FC6,T7,T8,P7,P8,O1,O2,Sampling Rate
0.0000000000e+000,2.2518055031e+000,3.3984077950e+000,2.6531221783e+000,3.1194879201e+000,3.1085017560e+000,2.5870107029e+000,1.1971519088e+000,1.6260664451e+000,2.1922231108e+000,3.2268722380e+000,2.2673098655e+000,0.0000000000e+000,2.5549411201e+000,2.9707088777e+000,1
9.3750000000e-002,2.1632286415e+000,3.4320271440e+000,2.6159453019e+000,3.0981722797e+000,3.0419737726e+000,2.6864878835e+000,1.3683990108e+000,1.6885994208e+000,2.1852920908e+000,3.3054011032e+000,2.3804930215e+000,0.0000000000e+000,2.6523223414e+000,3.0366395632e+000,
1.8750000000e-001,2.0160530026e+000,3.3409265468e+000,2.5681321653e+000,2.9984144071e+000,2.8189906398e+000,2.7196417205e+000,1.5518954752e+000,1.6569874021e+000,2.1183833978e+000,3.2898078562e+000,2.3756101672e+000,0.0000000000e+000,2.6388175950e+000,3.0753620132e+000,
2.8125000000e-001,1.9878054564e+000,3.2830734429e+000,2.3213390119e+000,2.9771402423e+000,2.8286785446e+000,2.8013459148e+000,1.6106077522e+000,1.6298105527e+000,2.3359849722e+000,3.2966788623e+000,2.3413495142e+000,0.0000000000e+000,2.6423112906e+000,3.1186833397e+000,
3.7500000000e-001,1.8725896576e+000,3.2411974365e+000,2.2347697936e+000,2.9514896401e+000,2.8003761224e+000,2.7988337129e+000,1.6742530882e+000,1.5536721868e+000,2.4272578282e+000,3.2318687849e+000,2.3395547782e+000,0.0000000000e+000,2.6557508848e+000,3.0934206007e+000,
4.6875000000e-001,1.9347268603e+000,3.3879298859e+000,2.3448592225e+000,3.0306153203e+000,2.9496975997e+000,2.8326014525e+000,1.6831430674e+000,1.4592846532e+000,2.4167760542e+000,3.2242159119e+000,2.3804224461e+000,0.0000000000e+000,2.6941781387e+000,3.1513970651e+000,
5.6250000000e-001,2.0875300976e+000,3.3808276928e+000,2.4828263349e+000,3.0445733572e+000,3.0011156362e+000,2.8994984269e+000,1.6955061234e+000,1.3845074590e+000,2.3855187964e+000,3.0732668702e+000,2.4611900415e+000,0.0000000000e+000,2.6927476106e+000,3.1644182291e+000,
6.5625000000e-001,2.7827954832e+000,3.7765032867e+000,2.6323154744e+000,3.1502536488e+000,3.0846139935e+000,2.9542375950e+000,1.7460419117e+000,1.3039852365e+000,2.4672018360e+000,3.2604473788e+000,2.5076456181e+000,0.0000000000e+000,2.8172381070e+000,3.2611402135e+000,
7.5000000000e-001,2.9224467802e+000,3.9924080281e+000,2.6568880073e+000,3.2177531142e+000,2.9438222113e+000,2.9997967883e+000,1.7326819132e+000,1.3109531401e+000,2.5566851202e+000,3.2794321780e+000,2.4778883297e+000,0.0000000000e+000,2.7464879660e+000,3.2455447560e+000,
8.4375000000e-001,2.9322274266e+000,4.0228728142e+000,2.6211706169e+000,3.2031196210e+000,2.9308173392e+000,2.9497827474e+000,1.7038825520e+000,1.2917995674e+000,2.4867362533e+000,3.3340759959e+000,2.5279078399e+000,0.0000000000e+000,2.7718129488e+000,3.2902157076e+000,
