Time (s),AF3,AF4,F3,F4,F7,F8,FC5,FC6,T7,T8,P7,P8,O1,O2,Sampling Rate
0.0000000000e+000,4.4370843423e+000,4.1395937261e+000,3.5206354703e+000,3.3321756075e+000,3.4717154182e+000,4.0437560553e+000,2.8166591422e+000,3.9912948585e+000,2.8445860096e+000,4.0680813909e+000,3.2438676058e+000,3.5542951368e+000,3.2711954130e+000,3.4934194313e+000,1
9.3750000000e-002,4.2880141714e+000,4.1632999652e+000,3.7901414578e+000,3.2577056221e+000,3.3369959421e+000,4.0433586788e+000,2.9017438287e+000,3.8985818403e+000,2.8898549054e+000,3.6520862910e+000,3.1758794117e+000,3.4080383199e+000,3.2592925239e+000,3.3889342519e+000,
1.8750000000e-001,4.2699003254e+000,4.2575682258e+000,4.0038293365e+000,3.3221490486e+000,3.4366795969e+000,4.1399949078e+000,3.0910256001e+000,3.8862181593e+000,2.9344834688e+000,3.6803649836e+000,3.3353668072e+000,3.5547114906e+000,3.2901023263e+000,3.4045321379e+000,
2.8125000000e-001,4.1680013327e+000,4.1603494610e+000,4.1519789896e+000,3.4465658904e+000,3.4148398703e+000,4.0596843134e+000,3.0819882128e+000,3.8551082142e+000,2.9127603856e+000,3.7769307619e+000,3.2985268672e+000,3.5806705036e+000,3.2039159150e+000,3.3076943836e+000,
3.7500000000e-001,4.2289184213e+000,4.2103184607e+000,4.2151774734e+000,3.4078345971e+000,3.5366626195e+000,4.0572563468e+000,3.1123214603e+000,3.8139543501e+000,2.8785948221e+000,3.7918201262e+000,3.3835654364e+000,3.6044759081e+000,3.2041390801e+000,3.3173179708e+000,
4.6875000000e-001,4.2987364376e+000,4.2672306213e+000,4.2029725431e+000,3.4857135849e+000,3.5693600357e+000,4.0201143225e+000,3.1348967796e+000,3.8554303163e+000,2.9507196152e+000,3.8187973844e+000,3.3973937791e+000,3.6164465017e+000,3.2922441374e+000,3.3750838756e+000,
5.6250000000e-001,4.2964084439e+000,4.1449830830e+000,4.2321310424e+000,3.5451851318e+000,3.5636336091e+000,3.9712077147e+000,3.0348012560e+000,3.8124335986e+000,2.9177722764e+000,3.7613959318e+000,3.3188890405e+000,3.5412187731e+000,3.2772192323e+000,3.2463459273e+000,
6.5625000000e-001,4.3115203814e+000,4.1751438603e+000,4.2667741274e+000,3.6160308352e+000,3.6098502653e+000,3.8720117070e+000,3.1215929043e+000,3.8376823398e+000,2.9809658696e+000,3.7724371812e+000,3.3237537370e+000,3.5921080857e+000,3.3231116738e+000,3.2844215826e+000,
7.5000000000e-001,4.3542837381e+000,4.2153554961e+000,4.3309173702e+000,3.5753104461e+000,3.7056516129e+000,3.9348562715e+000,3.2475382816e+000,3.8865965229e+000,3.0604341928e+000,3.9232065194e+000,3.3464267049e+000,3.6147490372e+000,3.4686462356e+000,3.3282210385e+000,
8.4375000000e-001,4.3241211179e+000,4.2574347639e+000,4.3610549679e+000,3.5612594462e+000,3.7199817570e+000,3.9348989347e+000,3.2191423766e+000,3.8729406407e+000,2.9996269557e+000,3.9005850950e+000,3.4449671706e+000,3.5572708763e+000,3.4819321329e+000,3.4234978866e+000,
9.3750000000e-001,4.1903564750e+000,4.1807854903e+000,4.3281746132e+000,3.4893699120e+000,3.7122684834e+000,3.8600456597e+000,3.2387040237e+000,3.6891347872e+000,3.0061310165e+000,3.7446580892e+000,3.4014516995e+000,3.4287431446e+000,3.4310546733e+000,3.3767412421e+000,
1.0312500000e+000,4.1081678767e+000,4.1666785484e+000,4.2564461520e+000,3.4647862635e+000,3.7246105402e+000,3.7302205896e+000,3.1511271030e+000,3.6373266562e+000,2.9386615481e+000,3.6862658766e+000,3.4371313772e+000,3.3744421807e+000,3.3736163484e+000,3.3769397132e+000,
1.1250000000e+000,3.9972030034e+000,4.1142876626e+000,4.1075135008e+000,3.5564032550e+000,3.7295438606e+000,3.7362952190e+000,3.1295342437e+000,3.6450237301e+000,2.8254521851e+000,3.6415690446e+000,3.3889375110e+000,3.3711043344e+000,3.3371452786e+000,3.4996530660e+000,
1.2187500000e+000,3.9514204321e+000,4.1584938294e+000,3.8452421496e+000,3.4617471516e+000,3.6445470681e+000,3.7134410373e+000,3.1381689300e+000,3.6940231067e+000,2.8409279571e+000,3.7395472743e+000,3.2516295144e+000,3.2504211287e+000,3.2508542898e+000,3.5655867602e+000,
1.3125000000e+000,4.0389062468e+000,4.1714130675e+000,3.6258807191e+000,3.3582417860e+000,3.6398526785e+000,3.8190359970e+000,3.1389472511e+000,3.7104110253e+000,2.7996832110e+000,3.7188155089e+000,3.3327418349e+000,3.2867106183e+000,3.3421983519e+000,3.7490201644e+000,
1.4062500000e+000,4.0283305292e+000,4.1818210552e+000,3.5190272010e+000,3.3915748687e+000,3.5567363851e+000,3.7944442121e+000,3.2051400742e+000,3.7422979706e+000,2.7848728671e+000,3.7043685478e+000,3.3092287346e+000,3.2417995189e+000,3.3530501274e+000,3.6775045919e+000,
1.5000000000e+000,4.1128740174e+000,4.3057695317e+000,3.6361973023e+000,3.4723129761e+000,3.8004651910e+000,4.0478022287e+000,3.3249260893e+000,3.7896435407e+000,2.8380481730e+000,3.9925965248e+000,3.3279674530e+000,3.5341611286e+000,3.3399586974e+000,3.7794569927e+000,
1.5937500000e+000,4.1432120340e+000,4.3500073641e+000,3.6863810126e+000,3.4331478843e+000,3.9246044934e+000,4.0982973867e+000,3.4080231645e+000,3.8228930253e+000,2.8471918750e+000,4.0001686944e+000,3.3572842096e+000,3.6200302205e+000,3.4659514576e+000,3.7975918715e+000,
1.6875000000e+000,4.0644172267e+000,4.3704775774e+000,3.6182514143e+000,3.4048017449e+000,3.9310328620e+000,4.0629738690e+000,3.4669380776e+000,3.8185003661e+000,2.9505100670e+000,3.9844964580e+000,3.3518413307e+000,3.5402204986e+000,3.4341462796e+000,3.8322474812e+000,
1.7812500000e+000,4.2348298100e+000,4.3319283174e+000,3.5192714597e+000,3.5306657871e+000,4.1105860015e+000,4.0709735485e+000,3.5143591914e+000,3.9141334671e+000,2.9804980210e+000,4.0226941011e+000,3.3136267848e+000,3.6458111597e+000,3.3170772165e+000,3.7714300955e+000,
1.8750000000e+000,4.4058330087e+000,4.3766320962e+000,3.5196827985e+000,3.6376252138e+000,4.1168276182e+000,4.1867301729e+000,3.5706680383e+000,3.9973004149e+000,2.9777447246e+000,4.1805511587e+000,3.3398510799e+000,3.7246128626e+000,3.4832187615e+000,3.7555216658e+000,
1.9687500000e+000,4.5040662510e+000,4.4110049347e+000,3.6417958874e+000,3.6791653955e+000,4.1056489297e+000,4.1515683924e+000,3.5616323474e+000,4.0342123064e+000,2.9199514386e+000,4.2032642614e+000,3.3029113255e+000,3.7893945824e+000,3.5441781062e+000,3.7866276074e+000,
2.0625000000e+000,4.5331679078e+000,4.4446205140e+000,3.6732743948e+000,3.6344082448e+000,4.0990248988e+000,4.1956094978e+000,3.6288272713e+000,4.0089412516e+000,2.9280375805e+000,4.2126389225e+000,3.2846669353e+000,3.7966656379e+000,3.6102779099e+000,3.7696893689e+000,
2.1562500000e+000,4.5621623561e+000,4.4316407127e+000,3.7316163052e+000,3.6000964667e+000,4.0787853065e+000,4.2063394306e+000,3.6266348499e+000,3.9311625255e+000,2.9303272450e+000,4.2826642984e+000,3.2378035036e+000,3.8069429676e+000,3.6526682078e+000,3.6735010516e+000,
2.2500000000e+000,4.5777879235e+000,4.3821265160e+000,3.7602711773e+000,3.5836074298e+000,4.0626665121e+000,4.1375612171e+000,3.5351838779e+000,3.9192922363e+000,2.8537558883e+000,4.2605337913e+000,3.2429856452e+000,3.8219913420e+000,3.7318627416e+000,3.6550364898e+000,
2.3437500000e+000,4.6402334540e+000,4.4481091867e+000,3.7580394029e+000,3.6466107526e+000,4.1793315611e+000,4.1531015956e+000,3.6715437450e+000,3.9884961316e+000,3.0649094944e+000,4.3851532179e+000,3.2922769754e+000,3.8812704126e+000,3.7833329618e+000,3.5619741659e+000,
2.4375000000e+000,4.5928320196e+000,4.3692771250e+000,3.7093661922e+000,3.5876171322e+000,4.1658629209e+000,4.1525505733e+000,3.6302034713e+000,3.9823981628e+000,3.0291486786e+000,4.3782500512e+000,3.2157394172e+000,3.8631765874e+000,3.8112108980e+000,3.6084898241e+000,
2.5312500000e+000,4.4824559307e+000,4.2630162395e+000,3.5107141423e+000,3.5422474333e+000,4.0320091450e+000,3.9858122530e+000,3.5573146155e+000,3.9220819367e+000,3.0215618378e+000,4.2616823461e+000,3.1421415774e+000,3.6311162166e+000,3.7827660799e+000,3.5071363242e+000,
2.6250000000e+000,4.6444634536e+000,4.2838934116e+000,3.5973627319e+000,3.5129126387e+000,4.1181688615e+000,3.9773125585e+000,3.6604152404e+000,3.9158783454e+000,3.0038477601e+000,4.2858650423e+000,3.1390356502e+000,3.6381036504e+000,3.8136080296e+000,3.5080303532e+000,
2.7187500000e+000,4.5781823885e+000,4.2663237978e+000,3.5524329509e+000,3.5160233644e+000,4.0249081430e+000,3.9055227441e+000,3.4953468351e+000,3.8428920464e+000,2.7986692239e+000,4.2847375197e+000,3.1609384833e+000,3.5881824423e+000,3.8300043703e+000,3.4225731453e+000,
2.8125000000e+000,4.5259892973e+000,4.2547164744e+000,3.5636102995e+000,3.4568090667e+000,3.9124048834e+000,3.8874693798e+000,3.4823851991e+000,3.8643685113e+000,2.7642563191e+000,4.3078574981e+000,3.1499470553e+000,3.5730726430e+000,3.7983683589e+000,3.4289965171e+000,
2.9062500000e+000,4.3995611706e+000,4.2643634353e+000,3.3669984402e+000,3.3558040937e+000,3.8966677670e+000,3.7735243197e+000,3.4667292175e+000,3.7819481750e+000,2.8010276326e+000,4.1687600241e+000,3.1048774306e+000,3.4563592369e+000,3.6710041237e+000,3.3852621193e+000,
