Time (s),AF3,AF4,F3,F4,F7,F8,FC5,FC6,T7,T8,P7,P8,O1,O2,Sampling Rate
0.0000000000e+000,3.1434835516e+000,3.0490340563e+000,2.5620488966e+000,3.3476527478e+000,2.7396514055e+000,3.3338368089e+000,2.3118421336e+000,3.4961681266e+000,2.4979308063e+000,3.3723820105e+000,2.5014421411e+000,3.1722656424e+000,2.3082560601e+000,3.0251404112e+000,1
9.3750000000e-002,3.3673518380e+000,3.1926731869e+000,2.6424781210e+000,3.3581248038e+000,2.9089825427e+000,3.3291992449e+000,2.5552342968e+000,3.4626541462e+000,2.6183564569e+000,3.3677299481e+000,2.5139703526e+000,3.1895539862e+000,2.3803266840e+000,3.0650869336e+000,
1.8750000000e-001,3.4845101633e+000,3.3676760795e+000,2.6659885280e+000,3.3513119146e+000,3.1081080045e+000,3.4349462171e+000,2.7563706126e+000,3.4843411488e+000,2.6757349645e+000,3.3576482864e+000,2.5257112402e+000,3.1437030133e+000,2.4144153562e+000,3.0886020637e+000,
2.8125000000e-001,3.5141656164e+000,3.4160644462e+000,2.5516740557e+000,3.2752540935e+000,3.1500089843e+000,3.5605339601e+000,2.8267588570e+000,3.5074095616e+000,2.8021535949e+000,3.4233492708e+000,2.4588345994e+000,3.1051253192e+000,2.4446870625e+000,3.2403440104e+000,
3.7500000000e-001,3.5137831348e+000,3.4642907102e+000,2.5696557432e+000,3.3248906237e+000,3.2037307152e+000,3.7622761555e+000,2.8458746800e+000,3.5544036671e+000,2.9387509656e+000,3.5049552619e+000,2.4564015444e+000,3.1330196695e+000,2.4844796923e+000,3.2446809002e+000,
4.6875000000e-001,3.5539148057e+000,3.5091768003e+000,2.7047072587e+000,3.2957233295e+000,3.1975502685e+000,3.9321472535e+000,2.8436982059e+000,3.6193649354e+000,3.1501055419e+000,3.5261028453e+000,2.4319813919e+000,3.0734226102e+000,2.4030836660e+000,3.2200222319e+000,
5.6250000000e-001,3.5590645635e+000,3.4714475603e+000,2.7411508132e+000,3.3212799987e+000,3.2409001328e+000,3.9741797700e+000,2.6904340969e+000,3.6012124743e+000,3.1141959871e+000,3.4713166569e+000,2.4332787396e+000,3.0395056473e+000,2.3261328955e+000,3.0273488193e+000,
6.5625000000e-001,3.5415090460e+000,3.4956926039e+000,2.8271265916e+000,3.3552430633e+000,3.2313352874e+000,4.0268811499e+000,2.7127126265e+000,3.7233300125e+000,3.1889119890e+000,3.5391252431e+000,2.3850584550e+000,3.0988044147e+000,2.3774197853e+000,3.1508632012e+000,
7.5000000000e-001,3.5528785138e+000,3.5053086050e+000,2.8829096676e+000,3.4617370177e+000,3.1907634203e+000,4.0838430977e+000,2.7544032696e+000,3.7743559676e+000,3.2497949827e+000,3.6874991552e+000,2.3707204088e+000,3.3158211853e+000,2.3810910969e+000,3.2525053690e+000,
8.4375000000e-001,3.5360404212e+000,3.5387754496e+000,2.8886300881e+000,3.5062145381e+000,3.2126313373e+000,4.1074596961e+000,2.8502988508e+000,3.7085695466e+000,3.3534762669e+000,3.7770626060e+000,2.3173619947e+000,3.2656190765e+000,2.3722020942e+000,3.2255523065e+000,
