Time (s),AF3,AF4,F3,F4,F7,F8,FC5,FC6,T7,T8,P7,P8,O1,O2,Sampling Rate
0.0000000000e+000,2.5707811819e+000,3.2909341830e+000,2.4468917177e+000,3.0213625558e+000,2.6564493055e+000,2.9813956906e+000,2.8656196158e+000,3.0940992640e+000,2.7827289364e+000,3.5431968500e+000,1.9110246566e+000,3.1818633520e+000,2.5986134583e+000,2.8426666712e+000,1
9.3750000000e-002,2.6124731119e+000,3.3539515113e+000,2.5477684592e+000,3.1323151853e+000,2.6907930248e+000,3.0066228204e+000,2.8756463812e+000,3.1294751890e+000,2.8342813252e+000,3.6022043719e+000,1.8973663906e+000,3.1926159195e+000,2.5391750775e+000,2.9577568459e+000,
1.8750000000e-001,2.6540167123e+000,3.4777827127e+000,2.6056934031e+000,3.1744127737e+000,2.8783498880e+000,3.1353877875e+000,2.9364837809e+000,3.2604859186e+000,2.8926169070e+000,3.6860832602e+000,2.1532260351e+000,3.2415801882e+000,2.6170599592e+000,3.0288379734e+000,
2.8125000000e-001,2.8432416245e+000,3.6740964406e+000,2.7171376946e+000,3.3563201953e+000,2.9963239909e+000,3.3325887337e+000,3.0548006019e+000,3.6381343130e+000,2.8625260104e+000,3.8110673382e+000,2.2961675998e+000,3.3895823421e+000,2.5850087553e+000,2.9217143909e+000,
3.7500000000e-001,2.9392466280e+000,3.6959184423e+000,2.6439208196e+000,3.4059855908e+000,3.0309527702e+000,3.3796447039e+000,2.9742279140e+000,3.7120700998e+000,2.8962955691e+000,3.8771221190e+000,2.3463734863e+000,3.4132255512e+000,2.4254662003e+000,2.7883234615e+000,
4.6875000000e-001,3.0642417553e+000,3.6683933869e+000,2.7030323552e+000,3.4517927462e+000,3.0292999837e+000,3.2669071806e+000,2.9681483646e+000,3.7344613073e+000,2.8888037344e+000,3.9018240021e+000,2.3776958037e+000,3.3490943599e+000,2.4540632005e+000,2.8242712252e+000,
5.6250000000e-001,3.0840826420e+000,3.7267654100e+000,2.7097226102e+000,3.5063140648e+000,3.0245497764e+000,3.3263297683e+000,2.9652165873e+000,3.7335878604e+000,2.8607620205e+000,3.8408174350e+000,2.6940839049e+000,3.3702997009e+000,2.4985756800e+000,2.9685918484e+000,
6.5625000000e-001,3.0315448943e+000,3.6262252295e+000,2.6452690561e+000,3.4239647964e+000,2.9505962894e+000,3.2345036905e+000,2.9636880384e+000,3.6211012079e+000,2.8668200171e+000,3.7203005763e+000,2.6902682077e+000,3.3446755290e+000,2.4524863044e+000,3.0706499233e+000,
7.5000000000e-001,2.9998750427e+000,3.7268724882e+000,2.6326059187e+000,3.4207201322e+000,2.9844246899e+000,3.3601744087e+000,2.9173179391e+000,3.7486515070e+000,2.7806628457e+000,3.8074564957e+000,2.6596086199e+000,3.3872734452e+000,2.2954016869e+000,3.1018670651e+000,
8.4375000000e-001,3.0657774798e+000,3.8654854251e+000,2.6617076196e+000,3.4550922068e+000,3.0533541589e+000,3.5334065994e+000,3.0137179393e+000,3.7571492501e+000,2.7436049349e+000,3.8349853904e+000,2.6687607862e+000,3.4993372764e+000,2.3556289479e+000,3.1517503621e+000,
